code,name,net_shares,net_amount
5291,邑昇,1631,120224.0
5475,德宏,1214,252218.0
2313,華通,674,154777.0
6163,華電網,520,33694.0
,主動統一台股增長,435,9022.0
1815,富喬,334,35657.0
2345,智邦,198,332816.0
6005,群益證,195,5493.0
6282,康舒,185,8816.0
,國泰US短期公債,175,8444.0
3498,陽程,121,9544.0
4991,環宇-KY,92,40209.0
6147,頎邦,87,5911.0
4906,正文,81,2677.0
3685,元創精密,76,2255.0
6770,力積電,64,4011.0
7547,碩網,62,4731.0
,富邦日本反1,60,253.0
8028,昇陽半導體,59,11566.0
2330,台積電,52,95516.0
8011,台通,50,1039.0
3231,緯創,49,6362.0
,主動兆豐台灣豐收,49,505.0
6442,光聖,49,104256.0
3026,禾伸堂,45,5932.0
5481,新華,-836,-19229.0
2426,鼎元,-461,-16615.0
8027,鈦昇,-274,-32147.0
2851,中再保,-230,-7179.0
00955,中信日本商社,-226,-3550.0
3031,佰鴻,-224,-5227.0
6168,宏齊,-190,-5043.0
3714,富采,-173,-8491.0
6120,達運,-172,-2261.0
2367,燿華,-164,-11903.0
2303,聯電,-140,-8210.0
3481,群創,-120,-3089.0
,元大優息投等債,-115,-1068.0
2466,冠西電,-115,-6099.0
8996,高力,-108,-88016.0
2887,台新新光金,-100,-2466.0
,主動群益台灣強棒,-89,-1487.0
2405,輔信,-74,-1264.0
2369,菱生,-73,-2474.0
1531,高林股,-70,-876.0
4958,臻鼎-KY,-62,-13150.0
1309,台達化,-62,-1226.0
6285,啟碁,-61,-10930.0
00919,群益台灣精選高息,-61,-1372.0
2481,強茂,-58,-5903.0
