code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
4939,亞電,3873,24,3849,25694.9,66.75
3037,欣興,1447,15,1432,127701.2,891.25
1216,統一,1001,13,988,7750.5,78.45
1314,中石化,800,27,773,711.1,9.2
3702,大聯大,502,0,502,5739.5,114.26
2409,友達,620,127,493,1382.2,28.03
9914,美利達,463,43,420,3533.1,84.17
3042,晶技,284,39,245,4657.9,189.77
6505,台塑化,691,450,241,1941.5,80.36
,主動統一全球創新,291,65,226,412.0,18.18
,主動統一升級50,232,50,182,186.5,10.25
,主動復華未來50,189,35,154,286.6,18.59
6182,合晶,547,400,147,2756.6,187.85
2337,旺宏,180,39,141,1964.5,139.17
1444,力麗,133,1,132,115.8,8.77
,國泰US短期公債,122,0,122,598.5,49.06
2353,宏碁,112,0,112,346.9,30.83
,主動復華金融股息,110,0,110,194.0,17.56
2104,國際中橡,111,9,102,114.6,11.24
2408,南亞科,503,404,99,4773.8,483.93
0050,元大台灣50,104,23,81,854.8,105.62
00902,中信電池及儲能,80,0,80,101.9,12.73
2382,廣達,83,7,76,2707.8,354.25
6770,力積電,751,677,74,575.5,78.45
,元大台灣50反1,125,55,70,72.1,10.2
8043,蜜望實,13,615,-602,-9460.6,157.16
6415,矽力*-KY,2,504,-502,-24064.2,479.66
2313,華通,120,495,-375,-9055.0,241.3
,群益ESG投等債20+,21,355,-334,-492.3,14.76
2897,王道銀行,0,301,-301,-316.1,10.5
2913,農林,0,250,-250,-287.9,11.52
1303,南亞,582,814,-232,-4899.3,210.33
,主動凱基台灣,56,276,-220,-202.2,9.22
2351,順德,23,227,-204,-3893.0,190.91
5871,中租-KY,1,204,-203,-2437.5,120.09
5483,中美晶,57,259,-202,-5418.0,268.39
,元大AAA至A公司債,0,200,-200,-629.6,31.37
1301,台塑,228,420,-192,-1249.5,65.31
6449,鈺邦,5,184,-179,-4989.4,278.9
3430,奇鈦科,4,169,-165,-2345.9,142.17
,兆豐國泰R2,2,152,-150,-184.5,12.3
5434,崇越,14,163,-149,-8786.3,589.36
2014,中鴻,0,119,-119,-211.2,17.75
,元大台灣50正2,897,1010,-113,-440.6,39.01
4513,福裕,5,117,-112,-257.1,22.94
2883,凱基金,2,113,-111,-338.3,30.33
1447,力鵬,0,109,-109,-94.5,8.67
2486,一詮,50,156,-106,-2724.6,256.91
3685,元創精密,470,575,-105,-416.9,39.71
1528,恩德,0,100,-100,-216.0,21.6
