code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
2801,彰銀,862,1,861,2019.5,23.46
8150,南茂,305,24,281,2918.3,103.73
2409,友達,338,117,221,699.7,31.67
2337,旺宏,210,18,192,2950.1,153.05
1815,富喬,249,112,137,1479.7,107.8
,元大美債20正2,115,0,115,80.4,6.99
6116,彩晶,84,1,83,160.3,19.31
1718,中纖,124,53,71,90.6,12.8
2317,鴻海,75,9,66,1691.0,253.11
,主動聯博全球非投,60,0,60,61.0,10.17
2002,中鋼,52,0,52,97.0,18.65
3016,嘉晶,50,4,46,616.5,134.02
2344,華邦電,91,54,37,713.6,195.38
2301,光寶科,38,3,35,802.6,225.44
00929,復華台灣科技優息,31,2,29,89.2,30.97
00919,群益台灣精選高息,38,12,26,77.5,29.49
2634,漢翔,51,26,25,141.1,56.44
009821,野村稀土關鍵資源,25,0,25,35.6,14.25
2367,燿華,24,0,24,132.4,55.2
2408,南亞科,50,27,23,1030.8,449.36
2352,佳世達,31,10,21,67.5,32.14
2880,華南金,21,0,21,76.1,37.18
00927,群益半導體收益,19,0,19,80.3,42.5
8261,富鼎,19,2,17,486.2,294.86
3017,奇鋐,23,8,15,4008.3,2644.86
8105,凌巨,0,1549,-1549,-3364.2,21.72
2630,亞航,82,1629,-1547,-7934.9,51.27
2610,華航,26,196,-170,-389.6,22.92
6127,九豪,19,156,-137,-1352.4,98.86
,主動凱基台灣,20,125,-105,-105.0,10.0
,主動統一台股增長,9,112,-103,-332.4,32.09
009820,元大納斯達克精選,0,103,-103,-104.4,10.14
3055,蔚華科,0,101,-101,-1287.8,127.5
,主動統一升級50,8,100,-92,-102.8,11.16
,主動群益科技創新,48,132,-84,-159.8,19.02
2520,冠德,2,70,-68,-231.5,34.04
4541,晟田,0,67,-67,-376.5,56.2
1303,南亞,2,59,-57,-1036.0,181.14
6269,台郡,18,73,-55,-371.6,67.7
1514,亞力,4,58,-54,-687.3,127.05
,主動富邦台灣龍耀,13,67,-54,-51.3,9.49
7795,長廣,0,51,-51,-3074.8,602.9
5258,虹堡,0,50,-50,-255.8,51.16
1304,台聚,0,40,-40,-53.8,13.45
,主動元大AI新經濟,2,40,-38,-80.7,21.25
3092,鴻碩,5,40,-35,-118.1,33.75
2603,長榮,10,42,-32,-595.5,186.14
2883,凱基金,11,42,-31,-89.4,28.1
2330,台積電,4,35,-31,-7780.1,2487.32
009824,群益美國科技巨頭,0,30,-30,-30.4,10.13
