code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
,元大台灣50正2,174,15,159,457.8,28.84
009819,中信數據及電力,146,15,131,131.0,10.0
3006,晶豪科,126,16,110,1919.6,174.35
,主動復華未來50,92,6,86,145.1,16.87
,元大台灣50反1,85,0,85,101.3,11.92
1785,光洋科,204,136,68,1258.2,184.09
2408,南亞科,93,30,63,1445.6,228.95
2618,長榮航,62,3,59,200.9,34.04
2371,大同,96,39,57,174.4,30.59
1409,新纖,106,49,57,101.0,17.71
,元大美債20正2,50,0,50,34.5,6.9
2002,中鋼,196,148,48,90.3,18.81
3028,增你強,46,1,45,314.0,69.44
009816,凱基台灣TOP50,64,19,45,59.2,13.09
6182,合晶,74,32,42,170.3,40.54
2330,台積電,41,2,39,8454.7,2153.13
4763,材料*-KY,40,1,39,165.9,42.53
6770,力積電,72,35,37,201.3,53.1
,期元大S&P原油反1,57,23,34,38.5,11.32
,主動第一金台股優,32,0,32,53.7,16.77
0050,元大台灣50,41,10,31,286.4,90.85
2409,友達,35,4,31,54.0,17.21
4949,有成精密,51,20,31,340.9,111.1
3481,群創,62,32,30,71.3,23.73
1710,東聯,30,0,30,39.7,13.23
6016,康和證,0,253,-253,-496.9,19.6
6116,彩晶,0,173,-173,-142.1,8.21
2812,台中銀,1,141,-140,-278.6,19.9
00712,復華富時不動產,7,110,-103,-92.8,9.07
2027,大成鋼,10,100,-90,-342.0,37.99
3024,憶聲,2,73,-71,-92.3,13.01
4167,松瑞藥,0,60,-60,-114.6,19.11
00919,群益台灣精選高息,8,61,-53,-125.5,23.73
8039,台虹,3,44,-41,-575.5,141.06
2303,聯電,64,100,-36,-287.6,80.66
6207,雷科,19,53,-34,-213.5,62.85
3707,漢磊,2,35,-33,-215.8,65.49
3049,精金,0,30,-30,-37.3,12.43
,主動群益美國增長,0,30,-30,-33.8,11.25
,國泰20年美債正2,0,30,-30,-20.6,6.87
2481,強茂,2,32,-30,-304.6,101.52
00891,中信關鍵半導體,6,36,-30,-92.5,31.05
8150,南茂,4,33,-29,-205.2,70.53
2374,佳能,9,36,-27,-214.3,79.12
2436,偉詮電,11,38,-27,-199.8,74.01
1711,永光,0,26,-26,-146.9,56.49
1304,台聚,0,20,-20,-28.1,14.05
4977,眾達-KY,13,32,-19,-408.7,215.11
5347,世界,7,24,-17,-258.4,149.84
3550,聯穎,15,31,-16,-33.6,20.99
