code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
6278,台表科,1765,3,1762,37605.5,213.47
3715,定穎投控,1025,22,1003,12986.4,129.47
3055,蔚華科,451,1,450,9224.6,205.0
3591,艾笛森,350,39,311,737.1,23.7
3026,禾伸堂,287,8,279,22546.0,807.96
2493,揚博,251,9,242,4693.1,193.93
5483,中美晶,202,4,198,3921.5,198.56
5285,界霖,171,0,171,1626.3,95.11
8996,高力,200,34,166,27863.8,1679.03
3693,營邦,130,0,130,9398.1,722.93
2455,全新,135,22,113,6207.7,549.35
6290,良維,118,10,108,2996.2,277.33
3481,群創,229,124,105,546.4,52.08
3189,景碩,163,60,103,9357.0,909.64
4919,新唐,250,148,102,1447.0,141.86
8227,巨有科技,111,10,101,3201.4,316.85
1709,和益,133,43,90,399.4,44.29
2610,華航,88,0,88,178.2,20.25
009816,凱基台灣TOP50,114,39,75,124.2,16.66
,主動中信台灣收益,138,87,51,49.7,9.74
3289,宜特,50,0,50,691.3,138.25
3167,大量,54,5,49,4202.4,855.01
3443,創意,49,2,47,39154.1,8375.21
2464,盟立,47,2,45,896.2,199.39
009819,中信數據及電力,40,0,40,39.2,9.79
2409,友達,15095,16386,-1291,-4536.5,35.13
,主動凱基台灣,0,835,-835,-845.1,10.12
2303,聯電,188,705,-517,-8424.7,162.85
009829,大華韓國KOSPI50,0,500,-500,-557.5,11.15
,主動復華全球50,12,217,-205,-206.3,10.06
8096,擎亞,2,200,-198,-1674.0,84.76
,主動統一升級50,0,165,-165,-178.0,10.79
6770,力積電,23,185,-162,-1191.8,73.56
00896,中信綠能及電動車,10,153,-143,-398.7,27.88
4542,科嶠,100,215,-115,-3825.3,332.63
3211,順達,4,112,-108,-4192.7,388.21
00927,群益半導體收益,30,137,-107,-427.9,39.99
,主動富邦台灣龍耀,0,105,-105,-97.4,9.27
6426,統新,0,101,-101,-3629.1,357.9
6668,中揚光,4,104,-100,-507.9,50.79
3406,玉晶光,3,94,-91,-8475.1,933.12
4764,雙鍵,0,90,-90,-1796.6,198.47
8039,台虹,20,100,-80,-2170.8,271.71
3264,欣銓,1,67,-66,-1860.8,280.66
6805,富世達,0,54,-54,-13496.5,2499.35
8150,南茂,54,106,-52,-512.3,98.14
6834,天二科技,0,50,-50,-587.8,117.45
1815,富喬,7,57,-50,-602.6,120.51
6526,達發,2,45,-43,-3172.8,737.86
6213,聯茂,3,44,-41,-2269.0,550.54
