code,name,net_shares,net_amount
2409,友達,315,4976.0
,元大台灣50正2,153,3079.0
,主動統一台股增長,136,2832.0
2484,希華,100,3126.0
,國泰臺灣加權正2,92,5360.0
1304,台聚,77,1342.0
0056,元大高股息,64,2454.0
2367,燿華,54,4038.0
2481,強茂,49,4481.0
00927,群益半導體收益,48,1151.0
6770,力積電,48,2801.0
,期元大S&P原油反1,48,804.0
00919,群益台灣精選高息,47,1057.0
4906,正文,46,1857.0
2303,聯電,43,2297.0
3231,緯創,38,4768.0
0052,富邦科技,36,1594.0
00878,國泰永續高股息,33,739.0
3576,聯合再生,29,589.0
6821,聯寶,29,1670.0
,主動復華未來50,27,113.0
1563,巧新,24,988.0
00935,野村臺灣新科技50,23,844.0
4763,材料*-KY,20,849.0
00662,富邦NASDAQ,20,1980.0
,國泰10Y+金融債,-622,-10010.0
2027,大成鋼,-161,-6067.0
3481,群創,-120,-3061.0
3714,富采,-104,-5344.0
3030,德律,-50,-12607.0
1582,信錦,-48,-5245.0
2356,英業達,-47,-1920.0
2103,台橡,-39,-743.0
,元大台灣50反1,-34,-489.0
0050,元大台灣50,-31,-2225.0
2014,中鴻,-30,-543.0
4938,和碩,-25,-1954.0
,主動統一全球創新,-25,-321.0
,主動群益科技創新,-25,-338.0
009816,凱基台灣TOP50,-25,-264.0
6285,啟碁,-22,-4059.0
4161,聿新科,-22,-530.0
,主動元大AI新經濟,-20,-242.0
2883,凱基金,-20,-394.0
,期元大S&P石油,-19,-525.0
6213,聯茂,-18,-3101.0
2002,中鋼,-17,-331.0
3037,欣興,-16,-8604.0
2610,華航,-15,-279.0
1309,台達化,-12,-349.0
