code,name,weight,shares
ACHR US,阿徹航空公司,1.21,181003
TXG US,10X Genomics Inc,2.34,126095
RXRX US,利可迅生技公司,0.43,121749
TEM US,Tempus AI Inc,5.84,115068
BEAM US,光束治療公司,2.7,96465
SOFI US,SoFi Technologies Inc,1.42,78155
HOOD US,羅賓漢市場公司,4.77,65150
PACB US,加州太平洋生技科技公司,0.09,59677
ROKU US,Roku Inc,4.91,56302
CRSP US,CRISPR治療公司,2.83,54223
BMNR US,BitMine Immersion Technologi,0.99,48552
PLTR US,帕蘭提爾科技公司,5.74,45310
SHOP US,Shopify公司,4.94,43449
CERS US,Cerus公司,0.09,40375
NTLA US,英特利亞治療公司,0.5,39350
TWST US,Twist Bioscience Corp,1.7,36271
CRCL US,Circle Internet Group Inc,2.66,33849
KTOS US,克瑞拓斯安全防衛公司,2.74,32829
XYZ US,布洛克公司,1.49,30344
VCYT US,Veracyte公司,0.82,24281
TER US,泰瑞達公司,7.11,21973
TSLA US,特斯拉公司,8.58,21823
PSTG US,PureStorage公司,1.19,17065
AMD US,超微半導體公司,3.33,16702
ILMN US,伊魯米納公司,1.78,15453
WGS US,GeneDx控股公司,1.01,13529
ABNB US,愛彼迎公司,1.56,12486
NVDA US,輝達,2.19,11846
CRWV US,CoreWeave Inc,1.04,11187
BWXT US,BWX科技股份有限公司,2.07,10526
AMZN US,亞馬遜公司,1.98,9936
NTRA US,那提拉公司,1.6,8000
TSM US,台積電,2.56,6994
BIDU US,百度股份有限公司,0.86,6891
BABA US,阿里巴巴,0.88,6114
GOOGL US,Alphabet公司 Class A,0.77,2595
META US,Meta平台公司,1.6,2592
AVGO US,博通公司,0.67,2139
DE US,迪爾,1.05,1791
MELI US,MercadoLibre Inc,1.4,839
