code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
,群益臺灣加權正2,262,8,254,295.3,11.63
,主動中信台灣收益,196,8,188,175.0,9.31
,期街口布蘭特正2,151,0,151,1084.4,71.81
2409,友達,261,124,137,401.2,29.18
00919,群益台灣精選高息,122,3,119,390.8,32.82
,主動統一台股增長,126,15,111,321.8,28.78
00918,大華優利高填息30,89,5,84,297.7,35.2
00961,FT臺灣永續高息,84,1,83,110.6,13.32
2344,華邦電,103,30,73,1189.6,162.41
,元大台灣50正2,80,19,61,214.5,35.13
,主動國泰動能高息,51,0,51,73.7,14.44
00712,復華富時不動產,41,0,41,34.2,8.33
00962,台新AI優息動能,39,1,38,56.7,14.92
,主動聯博動能50,31,0,31,30.9,9.8
00896,中信綠能及電動車,31,0,31,86.8,27.81
0056,元大高股息,31,0,31,171.4,55.17
6176,瑞儀,40,10,30,282.6,92.35
009829,大華韓國KOSPI50,28,0,28,29.4,10.48
009816,凱基台灣TOP50,31,6,25,40.3,15.73
,主動統一升級50,65,43,22,21.5,9.76
2615,萬海,25,3,22,248.6,113.0
3609,三一東林,24,3,21,41.7,19.85
2388,威盛,20,0,20,146.4,73.2
9904,寶成,20,0,20,47.5,24.1
2408,南亞科,51,34,17,827.4,476.05
009828,中信台日韓PCB,75,2014,-1939,-1788.1,9.22
,主動復華未來50,7,998,-991,-1686.0,17.02
,元大台灣50反1,50,302,-252,-253.8,10.07
2377,微星,1,120,-119,-1774.6,149.25
3481,群創,102,185,-83,-395.7,47.67
1714,和桐,1,75,-74,-110.4,14.95
3363,上詮,0,47,-47,-3174.2,675.07
2890,永豐金,0,35,-35,-160.0,45.02
6147,頎邦,23,55,-32,-597.1,186.39
2312,金寶,1,31,-30,-93.8,31.27
1528,恩德,3,33,-30,-68.1,22.7
2892,第一金,0,27,-27,-106.5,39.43
6885,全福生技,2,25,-23,-63.4,27.54
6227,茂綸,11,32,-21,-277.9,132.33
6282,康舒,21,42,-21,-91.0,43.35
00955,中信日本商社,0,20,-20,-33.4,16.7
2883,凱基金,17,36,-19,-73.5,38.08
,國泰20年美債,0,18,-18,-47.9,26.63
1605,華新,5,21,-16,-58.5,36.55
3167,大量,0,16,-16,-1286.3,805.72
2834,臺企銀,5,21,-16,-28.6,18.09
4722,國精化,0,15,-15,-280.0,186.67
,凱基A級公司債,0,15,-15,-20.0,13.35
2481,強茂,16,30,-14,-228.3,159.43
2887,台新新光金,2,16,-14,-61.7,43.42
