code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
00878,國泰永續高股息,381,9,372,970.8,26.1
2845,遠東銀,100,0,100,122.5,12.25
,元大台灣50反1,131,60,71,81.3,11.45
6116,彩晶,60,3,57,47.5,8.34
2409,友達,101,44,57,96.0,16.85
009816,凱基台灣TOP50,84,41,43,58.6,13.61
,主動統一台股增長,92,60,32,96.8,29.42
2002,中鋼,35,3,32,60.4,18.65
5876,上海商銀,31,0,31,120.7,38.7
1802,台玻,69,43,26,175.5,66.45
8937,合騏*,28,2,26,97.5,37.51
2641,正德,25,1,24,41.4,17.25
2367,燿華,41,17,24,140.6,58.59
3576,聯合再生,25,2,23,37.4,15.58
0056,元大高股息,32,12,20,83.6,41.71
4128,中天,20,0,20,31.0,15.5
00900,富邦特選高股息30,20,0,20,31.3,15.69
3437,榮創,34,15,19,51.0,26.82
6412,群電,27,8,19,169.2,89.04
2501,國建,16,0,16,36.4,22.75
,國泰臺灣加權反1,20,4,16,3.0,1.85
4958,臻鼎-KY,38,23,15,657.0,420.88
009820,元大納斯達克精選,15,0,15,14.7,9.83
5483,中美晶,14,0,14,191.6,136.82
1301,台塑,14,1,13,66.6,51.2
,期元大S&P原油反1,3,207,-204,-245.4,12.03
2457,飛宏,0,115,-115,-280.5,24.39
0050,元大台灣50,4,112,-108,-1011.0,93.49
2492,華新科,2,102,-100,-1396.7,139.53
3149,正達,13,75,-62,-304.9,49.17
2345,智邦,0,53,-53,-13283.7,2504.94
00962,台新AI優息動能,0,50,-50,-62.5,12.5
2344,華邦電,10,56,-46,-440.7,95.08
00919,群益台灣精選高息,11,54,-43,-103.1,23.98
2408,南亞科,19,54,-35,-842.0,239.25
00929,復華台灣科技優息,3,37,-34,-78.2,22.94
00927,群益半導體收益,0,29,-29,-90.4,31.18
2887,台新新光金,12,34,-22,-55.3,24.07
1326,台化,6,29,-23,-118.3,51.57
2313,華通,30,52,-22,-615.7,270.76
2439,美律,0,22,-22,-195.1,88.69
1708,東鹼,2,23,-21,-83.3,39.69
2236,百達-KY,0,21,-21,-292.7,139.38
,主動野村台灣50,0,18,-18,-36.7,20.41
3450,聯鈞,1,17,-16,-516.7,318.67
2303,聯電,19,35,-16,-129.3,80.79
3135,凌航,2,18,-16,-248.3,155.19
00940,元大台灣價值高息,0,15,-15,-15.8,10.53
3090,日電貿,2,17,-15,-157.9,105.23
1605,華新,38,51,-13,-44.5,32.9
