code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
3037,欣興,218,19,199,22826.8,1146.6
00887,永豐中國科技50大,100,0,100,160.7,16.04
,主動中信台灣收益,150,52,98,94.7,9.67
2609,陽明,115,48,67,404.9,59.89
2454,聯發科,53,4,49,19178.2,3934.97
2881,富邦金,51,3,48,672.1,139.97
2489,瑞軒,84,39,45,187.7,41.66
9904,寶成,45,1,44,110.8,25.18
6533,晶心科,45,3,42,1108.2,264.48
,國泰20年美債正2,40,0,40,26.2,6.54
3481,群創,115,76,39,184.8,46.73
3042,晶技,39,6,33,613.4,185.86
00929,復華台灣科技優息,35,3,32,90.8,28.92
2634,漢翔,73,43,30,208.3,68.97
00712,復華富時不動產,29,0,29,25.7,8.85
8112,至上,33,4,29,271.4,93.59
2493,揚博,38,10,28,505.8,180.64
2886,兆豐金,32,5,27,125.5,46.48
,主動統一全球創新,27,0,27,43.7,16.26
,元大台灣50正2,165,139,26,95.2,36.84
2303,聯電,92,66,26,312.6,121.73
5215,科嘉-KY,24,0,24,93.5,38.94
2484,希華,32,10,22,170.8,77.61
3006,晶豪科,47,25,22,590.0,268.61
2606,裕民,29,8,21,157.3,76.6
2301,光寶科,54,309,-255,-7582.5,297.0
,主動統一升級50,31,286,-255,-256.1,10.05
2317,鴻海,23,233,-210,-5164.4,246.04
2542,興富發,0,203,-203,-970.8,47.82
00919,群益台灣精選高息,14,213,-199,-620.6,31.11
,群益臺灣加權正2,51,195,-144,-167.1,11.57
,主動統一台股增長,27,170,-143,-420.1,29.3
2408,南亞科,33,125,-92,-4761.0,515.71
1815,富喬,185,269,-84,-988.9,116.82
3016,嘉晶,10,93,-83,-866.1,104.42
6770,力積電,47,121,-74,-527.7,70.93
3706,神達,3,77,-74,-677.2,91.52
0050,元大台灣50,14,87,-73,-772.1,105.69
,群益ESG投等債20+,2,70,-68,-98.1,14.43
,期元大S&P原油反1,0,66,-66,-84.6,12.82
1326,台化,14,73,-59,-357.1,60.53
,主動凱基台灣,10,67,-57,-55.2,9.64
1301,台塑,0,57,-57,-340.6,60.08
6168,宏齊,6,59,-53,-153.0,28.49
1308,亞聚,0,53,-53,-75.1,14.18
1304,台聚,1,50,-49,-61.1,12.25
2449,京元電子,3,52,-49,-1167.2,240.96
4927,泰鼎-KY,11,58,-47,-170.1,36.18
6191,精成科,3,47,-44,-361.5,82.15
2367,燿華,0,41,-41,-182.2,44.45
