code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
,元大台灣50正2,1241,281,960,2657.4,27.7
6770,力積電,815,370,445,2605.4,58.54
,富邦臺灣加權反1,413,4,409,275.7,6.74
2002,中鋼,240,11,229,436.7,19.04
,群益優選非投等債,281,55,226,217.6,9.63
1802,台玻,317,98,219,1498.6,68.37
1326,台化,240,28,212,1063.0,50.1
3481,群創,441,258,183,442.1,24.19
,凱基美國非投等債,201,21,180,258.3,14.41
9105,泰金寶-DR,341,171,170,98.9,5.82
00919,群益台灣精選高息,267,98,169,398.2,23.57
009819,中信數據及電力,173,20,153,181.9,11.88
2313,華通,156,35,121,2731.5,225.91
0056,元大高股息,179,63,116,473.7,41.0
,主動群益台灣強棒,130,17,113,231.9,20.38
1815,富喬,129,22,107,1155.9,107.53
2312,金寶,292,185,107,318.0,29.77
1312,國喬,101,1,100,126.0,12.6
2353,宏碁,102,10,92,259.4,28.2
8150,南茂,118,34,84,603.1,71.96
2609,陽明,88,5,83,420.1,50.62
8039,台虹,73,3,70,1052.4,149.15
4960,誠美材,74,4,70,288.5,41.63
009820,元大納斯達克精選,290,221,69,68.6,9.93
,主動復華未來50,429,364,65,128.8,19.78
1314,中石化,19,405,-386,-292.6,7.57
2344,華邦電,185,325,-140,-1288.5,92.02
,期街口布蘭特正2,0,133,-133,-726.3,54.36
009816,凱基台灣TOP50,246,377,-131,-159.1,12.11
,主動國泰動能高息,238,353,-115,-139.6,12.17
,群益ESG投等債20+,0,106,-106,-157.4,14.86
,主動兆豐台灣豐收,28,127,-99,-120.8,12.2
,主動復華金融股息,0,90,-90,-141.8,15.76
,主動元大AI新經濟,2,65,-63,-98.0,15.6
8011,台通,0,59,-59,-117.9,19.98
00892,富邦台灣半導體,3,60,-57,-213.0,37.36
5014,建錩,0,55,-55,-54.6,9.93
2340,台亞,50,101,-51,-198.3,38.67
,主動群益美國增長,22,73,-51,-54.6,10.7
,平衡凱基雙核收息,0,50,-50,-57.5,11.5
2317,鴻海,52,101,-49,-1120.4,225.22
1710,東聯,1,50,-49,-65.8,13.42
,主動群益科技創新,419,468,-49,-66.7,13.71
9945,潤泰新,12,57,-45,-109.4,24.32
2408,南亞科,68,113,-45,-1017.4,228.34
2305,全友,30,70,-40,-73.6,18.4
6226,光鼎,1,41,-40,-52.1,13.04
3625,西勝,4,38,-34,-64.7,18.81
3071,協禧,2,35,-33,-109.3,33.11
1301,台塑,11,44,-33,-166.5,50.47
