code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
2324,仁寶,1835,24,1811,6854.6,37.85
,元大台灣50正2,579,49,530,2022.8,38.11
009816,凱基台灣TOP50,308,14,294,457.6,15.56
2312,金寶,646,395,251,955.2,38.06
,主動聯博全球非投,200,0,200,201.8,10.09
2890,永豐金,532,332,200,753.4,37.67
0050,元大台灣50,146,3,143,1533.8,107.12
1301,台塑,233,93,140,772.5,55.19
3006,晶豪科,134,1,133,3259.5,245.27
,主動統一升級50,151,40,111,121.6,10.87
2103,台橡,110,0,110,239.4,21.76
00878,國泰永續高股息,109,0,109,366.2,33.52
00919,群益台灣精選高息,113,10,103,312.5,30.25
2812,台中銀,101,0,101,200.6,19.86
,主動統一全球創新,103,3,100,224.5,22.26
,群益臺灣加權反1,100,0,100,9.9,0.99
,富邦臺灣加權反1,100,0,100,55.5,5.55
2353,宏碁,118,22,96,329.3,34.23
2369,菱生,104,15,89,395.6,44.45
009821,野村稀土關鍵資源,73,0,73,109.9,15.03
00752,中信中國50,73,0,73,154.5,21.17
0052,富邦科技,74,2,72,455.3,63.05
1708,東鹼,88,19,69,355.5,51.22
2330,台積電,64,1,63,15307.6,2411.4
,主動富邦台灣龍耀,81,22,59,54.7,9.26
,元大台灣50反1,101,780,-679,-679.8,10.01
2610,華航,62,593,-531,-1231.1,23.18
,國泰臺灣加權反1,0,500,-500,-82.0,1.64
2409,友達,400,570,-170,-541.8,31.87
,主動統一台股增長,55,144,-89,-277.8,31.35
,群益ESG投等債20+,0,84,-84,-125.8,14.98
3062,建漢,3,83,-80,-199.7,24.96
6108,競國,0,71,-71,-132.1,18.6
6770,力積電,113,178,-65,-554.3,85.36
00940,元大台灣價值高息,50,107,-57,-72.7,12.76
2641,正德,3,55,-52,-93.9,18.05
0056,元大高股息,19,67,-48,-250.5,52.71
8473,山林水,0,40,-40,-202.5,50.63
2327,國巨*,17,55,-38,-3856.7,1027.49
2105,正新,0,35,-35,-101.9,29.1
5498,凱崴,0,33,-33,-210.5,63.8
3450,聯鈞,35,63,-28,-1618.5,580.35
00896,中信綠能及電動車,0,25,-25,-69.9,27.96
2887,台新新光金,3,27,-24,-76.5,31.88
2618,長榮航,26,48,-22,-97.8,44.29
2303,聯電,227,248,-21,-323.1,148.41
1326,台化,24,45,-21,-120.7,57.93
,統一美債20年,0,20,-20,-27.6,13.64
5452,佶優,0,20,-20,-67.0,33.52
,平衡凱基美國TOP,0,20,-20,-22.4,11.19
