code,name,weight,shares,price
2887,台新新光金,2.49,5020000,24.35
2883,凱基金控,1.95,4545000,20.55
2880,華南金控,2.23,3271000,34.0
2885,元大金,2.88,3037000,46.5
2891,中信金,3.19,2813000,55.8
1102,亞泥,1.93,2698000,35.5
2303,聯電,3.17,2614000,58.3
1402,遠東新,1.38,2602000,26.55
2882,國泰金,3.14,2120000,71.9
2324,仁寶,1.18,2109000,26.85
2881,富邦金控,3.49,1946025,87.7
9904,寶成,1.06,1824000,28.45
6005,群益證券,1.0,1701000,28.15
2897,王道銀行,0.28,1361000,10.05
3045,台灣大,2.93,1333000,109.5
2618,長榮航,0.85,1199000,34.5
4904,遠傳,1.92,1023000,93.3
3481,群創光電,0.48,912000,24.05
1434,福懋,0.27,824000,16.55
2820,華票,0.28,814000,16.85
2382,廣達,4.86,783000,289.0
9907,統一實,0.28,747000,18.65
3702,大聯大,1.17,635000,89.1
2501,國建,0.28,601000,22.55
2903,遠百,0.28,599000,23.1
3036,文曄,2.62,559000,227.5
1711,永光,0.36,535000,33.75
1326,台化,0.44,484000,45.6
8112,至上電子,0.8,479000,78.5
3714,富采,0.5,477000,49.65
1227,佳格,0.27,442000,30.55
2851,中央再保,0.28,442000,30.7
2855,統一證券,0.28,426000,32.35
8150,南茂科技,0.5,408000,57.0
8070,長華*,0.28,319000,43.3
6147,頎邦,0.61,306000,98.7
1303,南亞,0.5,294000,80.5
9910,豐泰,0.46,285000,78.9
2603,長榮海運,1.06,262000,203.0
2485,兆赫,0.36,244000,73.1
2377,微星,0.44,240000,89.2
1815,富喬工業,0.5,221000,112.0
2385,群光,0.53,212000,121.5
2637,慧洋-KY,0.28,202000,68.0
2006,東和鋼鐵,0.28,200000,69.6
2492,華新科,0.45,185000,114.0
8039,台虹科技,0.45,182000,122.0
3037,欣興,2.13,171000,564.0
5483,中美晶,0.38,167000,112.0
2376,技嘉,0.82,167000,222.5
8021,尖點,0.95,161000,266.5
2441,超豐,0.3,160000,86.0
2486,一詮精密,0.51,160000,144.5
2379,瑞昱,1.57,155000,499.0
8415,大國鋼,0.1,152000,34.15
2474,可成,0.58,149000,192.0
6023,元大期貨,0.28,139000,99.6
3711,日月光投控,0.99,129000,352.0
6257,矽格,0.44,127000,155.0
4123,晟德,0.1,126000,41.1
2330,台積電,4.82,123000,1860.0
6217,中國探針,0.46,118000,195.5
3010,華立,0.3,117000,124.0
2850,新光產險,0.28,116000,117.0
3105,穩懋,1.03,116000,440.0
6239,力成,0.48,113000,192.0
3264,欣銓,0.37,112000,164.5
2467,志聖,0.92,102000,408.5
1210,大成,0.1,94000,54.9
2204,中華,0.1,92000,54.4
2357,華碩,0.97,86000,550.0
2455,全新,0.46,78000,284.5
2313,華通,0.42,77000,275.0
3227,原相,0.29,76000,189.0
4915,致伸,0.11,73000,71.3
6446,藥華醫藥,0.91,70000,638.0
3189,景碩科技,0.52,66000,358.5
8996,高力,1.11,60000,904.0
6176,瑞儀光電,0.1,55000,90.8
3005,神基科技,0.11,52000,98.9
6531,愛普科技,0.47,49000,471.5
9917,中保,0.1,44000,115.0
9939,宏全國際,0.1,43000,116.5
6830,汎銓,0.53,40000,602.0
8046,南電,0.46,36000,624.0
3596,智易科技,0.11,33000,167.0
2308,台達電子,1.07,32000,1515.0
6274,台燿,0.41,28000,725.0
2449,京元電子,0.15,26000,268.0
2360,致茂,0.9,26000,1570.0
3081,聯亞光電,1.07,26000,2040.0
6409,旭隼,0.34,23000,721.0
2327,國巨*,0.12,22000,256.0
1560,中砂,0.21,21000,474.0
2368,金像電子,0.4,20000,927.0
3017,奇鋐,0.9,20000,2030.0
2383,台光電子,1.21,19000,2885.0
6414,樺漢,0.1,18000,276.0
3665,貿聯-KY,0.73,18000,1990.0
2412,中華電,0.04,16000,134.0
4766,南寶,0.1,15000,319.0
7751,竑騰,0.6,15000,1990.0
6121,新普科技,0.1,14000,348.0
6683,雍智科技,0.41,14000,1450.0
6510,精測,0.97,14000,3435.0
6223,旺矽,1.21,14000,4310.0
2345,智邦,0.41,12000,1615.0
3653,健策,0.97,12000,3760.0
4966,譜瑞-KY,0.1,10000,478.0
3131,弘塑科技,0.47,7000,3340.0
6515,穎崴,1.1,7000,7100.0
6805,富世達,0.23,6000,1850.0
3167,大量,0.05,5000,490.0
2454,聯發科,0.16,5000,1470.0
5274,信驊科技,1.27,5000,12615.0
202604TX,台指期貨,1.79,13,0.0
