code,name,net_shares,net_amount
,主動統一台股增長,118,2470.0
00919,群益台灣精選高息,73,1689.0
2344,華邦電,70,8144.0
2408,南亞科,57,13750.0
2492,華新科,57,7632.0
2371,大同,42,1322.0
6179,亞通,39,1074.0
6770,力積電,33,2464.0
6290,良維,32,7515.0
2884,玉山金,32,1013.0
1471,首利,31,418.0
,主動復華未來50,30,394.0
9946,三發地產,30,557.0
8422,可寧衛*,29,849.0
3434,哲固,29,851.0
1710,東聯,28,453.0
1304,台聚,28,432.0
1802,台玻,24,1466.0
0050,元大台灣50,22,1695.0
8112,至上,23,1960.0
1303,南亞,20,1627.0
6530,創威,20,1790.0
2405,輔信,20,328.0
,元大台灣50反1,20,281.0
2337,旺宏,20,3228.0
1718,中纖,-100,-774.0
,國泰20年美債,-95,-2714.0
4534,慶騰,-93,-2648.0
2406,國碩,-83,-2938.0
,群益ESG投等債20+,-45,-671.0
5314,世紀*,-38,-2797.0
3380,明泰,-32,-1166.0
3481,群創,-31,-770.0
8440,綠電,-30,-723.0
4927,泰鼎-KY,-30,-1369.0
2399,映泰,-29,-1065.0
8937,合騏,-28,-4594.0
2409,友達,-27,-426.0
2605,新興,-26,-1101.0
1809,中釉,-22,-742.0
2038,海光,-20,-326.0
00712,復華富時不動產,-19,-170.0
00907,永豐優息存股,-18,-272.0
,主動元大AI新經濟,-17,-214.0
3234,光環,-16,-1608.0
4906,正文,-15,-527.0
1409,新纖,-15,-249.0
6282,康舒,-14,-723.0
8059,凱碩,-14,-303.0
4960,誠美材,-14,-364.0
