code,name,net_shares,net_amount
4906,正文,135,5233.0
,元大台灣50正2,134,3042.0
6116,彩晶,134,1191.0
2337,旺宏,101,15244.0
2371,大同,98,3130.0
,元大美債20正2,97,693.0
1810,和成,80,1376.0
1301,台塑,56,2677.0
1308,亞聚,52,869.0
1101,台泥,51,1280.0
00878,國泰永續高股息,47,1084.0
3645,達邁,46,3529.0
2610,華航,43,780.0
6405,悅城,41,1473.0
,期元大S&P石油,40,1098.0
1304,台聚,39,608.0
00712,復華富時不動產,31,273.0
6443,元晶,28,1076.0
1708,東鹼,28,1101.0
3576,聯合再生,26,538.0
2402,毅嘉,25,1427.0
,主動中信台灣卓越,25,326.0
,群益優選非投等債,25,242.0
3189,景碩,24,9630.0
,主動群益科技創新,23,343.0
3704,合勤控,-241,-8144.0
2409,友達,-206,-3830.0
3481,群創,-142,-3898.0
,主動群益台灣強棒,-117,-2050.0
009816,凱基台灣TOP50,-106,-1193.0
,主動野村臺灣優選,-99,-1836.0
,主動復華未來50,-99,-1355.0
3049,精金,-95,-1189.0
1723,中碳,-65,-5115.0
2002,中鋼,-52,-1053.0
2327,國巨*,-40,-11205.0
,群益ESG投等債20+,-40,-600.0
4989,榮科,-39,-2929.0
2367,燿華,-37,-2797.0
1326,台化,-35,-1586.0
1309,台達化,-35,-783.0
0050,元大台灣50,-33,-2680.0
2027,大成鋼,-33,-1276.0
,期街口布蘭特正2,-32,-1585.0
5351,鈺創,-28,-2083.0
6217,中探針,-27,-5662.0
3317,尼克森,-25,-1264.0
8064,東捷,-24,-2012.0
3006,晶豪科,-23,-3561.0
5439,高技,-21,-6697.0
