code,name,weight,shares,price
2887,台新新光金,2.36,6878000,23.8
2883,凱基金控,2.06,6172000,22.9
2880,華南金控,2.32,4750000,33.3
2891,中信金,3.07,3789000,56.4
1402,遠東新,1.44,3726000,26.1
2885,元大金,2.91,3510000,56.5
1102,亞泥,1.7,3355000,34.95
2324,仁寶,1.37,3028000,29.65
9904,寶成,1.06,2803000,25.9
2882,國泰金,3.14,2736000,80.0
2881,富邦金控,3.67,2621025,96.7
2303,聯電,3.6,2583000,91.3
6005,群益證券,1.11,2345000,30.55
2897,王道銀行,0.29,1917000,10.15
3045,台灣大,2.96,1837000,110.0
2618,長榮航,0.83,1572000,35.65
4904,遠傳,1.84,1308000,95.9
1434,福懋,0.28,1213000,15.85
9907,統一實,0.27,1099000,17.1
2820,華票,0.26,1036000,16.85
2382,廣達,4.89,969000,340.5
2356,英業達,0.65,879000,49.55
2903,遠百,0.28,869000,22.15
2501,國建,0.28,836000,23.0
3702,大聯大,1.29,774000,113.5
1216,統一,0.82,761000,73.2
3036,文曄,2.63,679000,240.5
1227,佳格,0.28,665000,29.05
2851,中央再保,0.3,640000,31.15
1326,台化,0.39,554000,46.95
2855,統一證券,0.35,547000,40.0
8070,長華*,0.29,407000,48.2
2006,東和鋼鐵,0.39,397000,67.4
3714,富采,0.38,386000,71.1
2603,長榮海運,1.12,357000,211.5
1785,光洋科,0.76,327000,159.0
3706,神達投資控股,0.41,324000,86.2
2637,慧洋-KY,0.29,270000,74.6
8112,至上電子,0.31,242000,89.3
2353,宏碁,0.1,241000,27.8
8069,元太,0.63,241000,178.0
3026,禾伸堂,1.11,230000,330.0
2441,超豐,0.3,222000,90.5
8415,大國鋼,0.11,213000,34.55
2385,群光,0.42,210000,134.0
2379,瑞昱,1.8,210000,592.0
8039,台虹科技,0.42,209000,132.5
2486,一詮精密,0.82,199000,281.5
6147,頎邦,0.55,192000,196.5
8021,尖點,1.18,188000,401.0
5483,中美晶,0.41,169000,163.5
3189,景碩科技,1.25,169000,458.0
2474,可成,0.48,156000,205.0
3010,華立,0.29,147000,133.5
2850,新光產險,0.29,146000,132.5
2330,台積電,4.59,140000,2290.0
6217,中國探針,0.52,126000,282.0
3037,欣興,1.55,123000,818.0
2206,三陽工業,0.1,119000,58.0
3374,精材,0.43,117000,249.0
2357,華碩,1.18,117000,650.0
6023,元大期貨,0.17,115000,99.5
3105,穩懋,0.86,111000,526.0
2606,裕民,0.1,109000,65.0
3711,日月光投控,0.84,107000,516.0
9910,豐泰,0.11,105000,73.8
2467,志聖,0.85,98000,537.0
4915,致伸,0.1,97000,72.5
3227,原相,0.32,93000,231.5
2455,全新,0.46,87000,337.0
6187,萬潤科技,1.4,86000,1110.0
2377,微星,0.12,74000,100.0
3005,神基科技,0.11,73000,98.2
6176,瑞儀光電,0.11,72000,104.5
6451,訊芯-KY,0.44,66000,441.0
9917,中保,0.1,62000,114.0
2313,華通,0.22,61000,253.5
8155,博智電子,0.37,60000,420.0
6531,愛普科技,0.85,60000,875.0
6274,台燿,1.09,51000,1455.0
2360,致茂,1.76,51000,2230.0
4991,環宇-KY,0.48,48000,686.0
2368,金像電子,0.94,46000,1330.0
3596,智易科技,0.12,44000,178.0
5904,寶雅,0.37,44000,577.0
3264,欣銓,0.13,39000,225.5
6139,亞翔工程,0.37,37000,714.0
6584,南俊國際,0.37,37000,687.0
8046,南電,0.4,30000,854.0
2345,智邦,1.14,30000,2375.0
3563,牧德,0.34,29000,802.0
2308,台達電子,0.89,27000,2200.0
3163,波若威科技,0.4,26000,1040.0
3665,貿聯-KY,1.02,24000,2750.0
2383,台光電子,1.71,24000,4750.0
1560,中砂,0.21,23000,572.0
3167,大量,0.25,23000,684.0
8996,高力,0.34,22000,1015.0
3017,奇鋐,0.82,22000,2445.0
3081,聯亞光電,0.9,22000,2780.0
6121,新普科技,0.11,19000,394.0
7751,竑騰,0.49,19000,1750.0
6472,保瑞,0.09,15000,419.0
6683,雍智科技,0.43,13000,2270.0
6223,旺矽,0.88,12000,4985.0
3131,弘塑科技,0.41,9000,3090.0
6805,富世達,0.23,8000,1980.0
6515,穎崴,1.18,8000,9630.0
2454,聯發科,0.4,7000,3630.0
8210,勤誠興業,0.11,5000,1415.0
3443,創意電子,0.25,3000,5210.0
5274,信驊科技,0.52,2000,17825.0
202605TX,台指期貨,1.54,14,0.0
