code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
8227,巨有科技,732,1,731,12163.4,166.39
5469,瀚宇博,602,1,601,5815.2,96.76
0056,元大高股息,437,20,417,1772.7,42.53
,期元大S&P原油反1,157,0,157,218.5,13.92
,主動群益美國增長,153,0,153,164.9,10.78
,主動統一台股增長,316,178,138,379.1,27.4
2337,旺宏,174,56,118,1558.3,132.11
,主動國泰動能高息,162,50,112,142.4,12.67
2634,漢翔,81,0,81,407.3,50.6
,第一金優選非投債,78,0,78,72.2,9.25
1802,台玻,95,28,67,500.0,74.0
00888,永豐台灣ESG,132,80,52,141.5,27.21
6134,萬旭,50,0,50,157.7,31.53
2344,華邦電,61,13,48,431.4,90.11
,元大台灣50正2,48,3,45,122.5,27.09
2355,敬鵬,54,9,45,246.7,54.82
,主動復華未來50,51,7,44,69.2,15.72
3189,景碩,50,9,41,2028.8,491.19
1582,信錦,42,1,41,426.1,103.91
8064,東捷,48,9,39,329.7,84.55
4763,材料*-KY,81,44,37,162.6,44.03
1402,遠東新,34,0,34,87.6,25.77
5269,祥碩,35,1,34,4659.5,1370.44
0052,富邦科技,38,6,32,160.0,50.19
2313,華通,40,11,29,737.5,248.3
3135,凌航,60,1028,-968,-12901.2,133.28
,主動群益科技創新,48,593,-545,-929.0,17.04
009816,凱基台灣TOP50,17,435,-418,-518.9,12.42
3437,榮創,17,247,-230,-618.5,26.89
00919,群益台灣精選高息,52,272,-220,-524.6,23.87
,期街口布蘭特正2,0,115,-115,-572.7,49.8
8112,至上,4,103,-99,-864.8,87.79
00703,台新MSCI中國,0,80,-80,-163.7,20.46
00946,群益科技高息成長,0,80,-80,-94.2,11.8
4906,正文,46,124,-78,-309.0,39.62
2312,金寶,29,103,-74,-215.9,29.18
3016,嘉晶,7,70,-63,-480.4,76.26
6770,力積電,72,131,-59,-336.0,56.98
00878,國泰永續高股息,18,72,-54,-134.7,25.09
2812,台中銀,0,53,-53,-107.5,20.3
3049,精金,0,52,-52,-69.3,13.32
,主動群益台灣強棒,0,46,-46,-96.3,20.81
2303,聯電,97,142,-45,-361.3,79.11
3033,威健,1,45,-44,-154.6,35.13
,國泰20年美債,0,38,-38,-106.6,28.06
2233,宇隆,0,37,-37,-973.5,263.11
00915,凱基優選高股息30,0,35,-35,-87.5,25.0
00662,富邦NASDAQ,0,35,-35,-377.7,107.91
2317,鴻海,6,40,-34,-748.1,220.22
00927,群益半導體收益,1,34,-33,-95.2,28.6
