code,name,weight,shares,price
1303,南亞,2.33,460000,230.5
2481,強茂,0.95,290000,158.0
2330,台積電,14.47,271999,2460.0
2303,聯電,0.77,260000,143.0
3037,欣興,4.23,206001,949.0
6239,力成,1.04,175000,280.0
2408,南亞科,2.0,175000,517.0
6274,台燿,4.58,158000,1345.0
3045,台灣大,0.38,151000,117.0
2449,京元電子,0.87,150000,273.0
2882,國泰金,0.32,130000,114.5
3711,日月光投控,1.64,123002,621.0
3231,緯創,0.45,111000,197.0
8046,南電,2.43,110000,1050.0
3017,奇鋐,7.47,105500,3420.0
2886,兆豐金,0.11,100000,50.2
3189,景碩,1.64,95000,813.0
6669,緯穎,4.21,83518,2490.0
2454,聯發科,7.0,69001,4760.0
2383,台光電,6.79,59001,5495.0
2308,台達電,2.28,58499,1850.0
2345,智邦,2.06,49000,2100.0
6488,環球晶,0.84,41000,955.0
2801,彰銀,0.02,40000,26.5
6223,旺矽,4.98,39901,5795.0
6187,萬潤,1.16,39000,1385.0
8996,高力,0.95,36000,1240.0
6805,富世達,1.39,30000,2265.0
3653,健策,2.99,25000,5655.0
3081,聯亞,1.42,23000,2865.0
3491,昇達科,0.64,20000,1490.0
3443,創意,2.45,19050,5935.0
2059,川湖,4.86,18001,13905.0
2368,金像電,0.37,16000,1120.0
3665,貿聯-KY,0.54,13000,2070.0
2360,致茂,0.59,12000,2230.0
7769,鴻勁,1.65,11000,6565.0
9941,裕融,0.01,7260,80.5
5274,信驊,2.66,6420,19220.0
3661,世芯-KY,0.35,4000,4040.0
6515,穎崴,0.5,3000,7000.0
8436,大江,0.0,1000,109.0
2317,鴻海,0.01,1000,256.0
