code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
3028,增你強,100,0,100,599.7,59.97
,主動群益科技創新,125,29,96,143.4,14.95
2105,正新,96,11,85,275.1,32.35
1314,中石化,83,3,80,62.3,7.79
4939,亞電,71,0,71,226.4,31.89
,主動統一台股增長,169,99,70,162.2,23.11
,凱基A級公司債,60,0,60,85.1,14.18
,元大投資級公司債,60,0,60,200.6,33.43
,期元大S&P原油反1,57,1,56,71.9,12.84
00885,富邦越南,50,0,50,89.9,17.98
1815,富喬,91,43,48,533.1,111.74
6443,元晶,49,5,44,156.3,35.69
2489,瑞軒,76,37,39,185.6,47.47
2301,光寶科,39,1,38,595.3,154.76
4989,榮科,49,12,37,298.1,80.57
,期元大S&P石油,41,6,35,101.6,29.02
9904,寶成,34,0,34,95.2,28.0
,元大台灣50反1,33,0,33,43.7,13.25
6026,福邦證,33,0,33,48.1,14.7
4958,臻鼎-KY,33,2,31,818.0,263.12
2337,旺宏,53,23,30,454.0,149.83
,富邦恒生國企正2,30,0,30,29.1,9.69
3105,穩懋,49,19,30,1408.0,470.69
1449,佳和,30,3,27,41.4,15.33
00919,群益台灣精選高息,31,6,25,57.2,22.77
,主動群益台灣強棒,2,163,-161,-291.4,18.1
00927,群益半導體收益,0,112,-112,-297.5,26.42
2356,英業達,1,110,-109,-478.1,43.86
3042,晶技,3,94,-91,-1154.9,126.77
009816,凱基台灣TOP50,30,112,-82,-93.4,11.39
,元大台灣50正2,52,127,-75,-176.0,23.58
3704,合勤控,1,73,-72,-260.6,36.19
00878,國泰永續高股息,4,73,-69,-160.3,22.97
2327,國巨*,23,89,-66,-2010.7,302.52
1309,台達化,14,72,-58,-141.3,24.36
1802,台玻,31,82,-51,-329.2,63.98
00940,元大台灣價值高息,0,50,-50,-49.3,9.87
6282,康舒,3,47,-44,-201.8,45.87
2402,毅嘉,2,42,-40,-269.6,67.23
,平衡凱基美國TOP,0,37,-37,-39.1,10.57
0056,元大高股息,19,52,-33,-131.2,39.6
00904,新光臺灣半導體30,0,31,-31,-94.3,30.41
9939,宏全,0,31,-31,-339.2,109.5
1301,台塑,3,33,-30,-150.8,49.55
2603,長榮,1,31,-30,-594.7,200.31
3714,富采,29,58,-29,-156.9,54.1
3221,台嘉碩,4,33,-29,-111.2,38.35
2351,順德,14,43,-29,-357.7,123.33
2883,凱基金,3,32,-29,-60.9,21.06
3645,達邁,5,31,-26,-238.3,90.59
