code,name,net_shares,net_amount
0056,元大高股息,221,8495.0
,元大台灣50反1,203,2936.0
2382,廣達,101,28886.0
4938,和碩,101,7879.0
3481,群創,85,2136.0
,主動統一台股增長,77,1559.0
,主動群益科技創新,74,975.0
6227,茂綸,64,5866.0
,主動野村臺灣優選,50,873.0
1802,台玻,41,2216.0
5871,中租-KY,37,3906.0
00919,群益台灣精選高息,34,773.0
6290,良維,30,5871.0
,國泰US短期公債,28,1357.0
00929,復華台灣科技優息,24,453.0
6147,頎邦,21,1770.0
2357,華碩,20,11080.0
0050,元大台灣50,19,1403.0
4906,正文,19,780.0
,富邦臺灣加權反1,18,143.0
2324,仁寶,17,470.0
2027,大成鋼,16,604.0
6190,萬泰科,13,728.0
00891,中信關鍵半導體,13,311.0
2882,國泰金,11,786.0
,台新新光辛特,-300,-2817.0
2344,華邦電,-199,-19173.0
2408,南亞科,-95,-20634.0
009816,凱基台灣TOP50,-72,-770.0
2409,友達,-69,-1203.0
6770,力積電,-61,-3419.0
3455,由田,-60,-8340.0
2303,聯電,-59,-3108.0
,期元大S&P原油反1,-50,-827.0
8069,元太,-45,-6364.0
2356,英業達,-40,-1626.0
2337,旺宏,-39,-5311.0
5347,世界,-33,-3673.0
00712,復華富時不動產,-30,-258.0
3576,聯合再生,-22,-457.0
3209,全科,-20,-811.0
4960,誠美材,-20,-427.0
6285,啟碁,-17,-3121.0
2883,凱基金,-17,-338.0
1904,正隆,-16,-301.0
3557,嘉威,-14,-427.0
2367,燿華,-13,-1011.0
,期元大S&P黃金,-12,-601.0
3264,欣銓,-11,-1916.0
9949,琉園,-11,-347.0
