code,name,net_shares,net_amount
2303,聯電,567,32827.0
5347,世界,318,37944.0
,期元大S&P原油反1,151,2216.0
3376,新日興,144,29507.0
3481,群創,64,1562.0
,元大台灣50反1,43,602.0
009816,凱基台灣TOP50,42,451.0
3005,神基,26,2566.0
1309,台達化,26,659.0
8074,鉅橡,22,1228.0
8936,國統,21,1052.0
00955,中信日本商社,20,318.0
6147,頎邦,19,1694.0
6278,台表科,17,1588.0
4958,臻鼎-KY,16,3535.0
2324,仁寶,15,405.0
8028,昇陽半導體,15,2547.0
6277,宏正,14,995.0
4906,正文,13,487.0
6770,力積電,12,648.0
8271,宇瞻,10,1464.0
6465,威潤,10,449.0
,第一金優選非投債,10,93.0
00877,復華中國5G,10,276.0
5493,三聯,10,769.0
,主動群益台灣強棒,-192,-3176.0
2409,友達,-171,-2893.0
2481,強茂,-138,-14347.0
,主動統一台股增長,-127,-2648.0
3105,穩懋,-114,-45860.0
8046,南電,-107,-64645.0
,群益ESG投等債20+,-100,-1498.0
00881,國泰台灣科技龍頭,-97,-3587.0
,元大台灣50正2,-96,-1992.0
0050,元大台灣50,-93,-6975.0
,主動野村台灣50,-91,-1470.0
8112,至上,-76,-5920.0
,主動群益科技創新,-68,-910.0
2308,台達電,-64,-97167.0
8299,群聯,-55,-88851.0
,主動復華未來50,-44,-557.0
1305,華夏,-40,-706.0
,兆豐US優選投等債,-39,-534.0
2330,台積電,-36,-67106.0
,主動統一全球創新,-35,-452.0
0052,富邦科技,-34,-1520.0
2834,臺企銀,-34,-517.0
009813,貝萊德標普卓越50,-29,-288.0
6588,東典光電,-29,-3711.0
,期元大S&P石油,-28,-825.0
