code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
,主動統一升級50,3855,127,3728,3819.7,10.25
009816,凱基台灣TOP50,260,9,251,347.7,13.85
,主動統一台股增長,147,36,111,324.8,29.19
00891,中信關鍵半導體,100,0,100,343.6,34.31
4960,誠美材,99,16,83,308.9,37.21
,主動群益科技創新,71,5,66,120.1,18.13
,主動復華未來50,74,10,64,115.6,18.03
2301,光寶科,65,4,61,1304.1,212.08
2027,大成鋼,62,1,61,232.6,38.13
2103,台橡,50,0,50,109.0,21.8
2436,偉詮電,50,0,50,361.0,72.2
2356,英業達,82,33,49,236.2,48.69
,主動統一全球創新,45,4,41,81.4,19.86
2313,華通,72,36,36,900.8,247.57
,主動野村臺灣高息,46,10,36,37.9,10.54
0050,元大台灣50,76,40,36,341.2,95.03
,主動群益台灣強棒,31,0,31,71.3,22.99
,元大台灣50正2,517,487,30,84.9,27.72
,玉山嚴選非投債,30,0,30,59.6,19.87
1303,南亞,35,6,29,252.4,86.16
2303,聯電,112,87,25,259.7,102.55
4977,眾達-KY,25,0,25,665.6,263.09
1802,台玻,45,20,25,172.5,69.0
3706,神達,24,1,23,192.5,81.88
6263,普萊德,22,0,22,427.3,192.89
2409,友達,943,1557,-614,-1223.1,19.92
6116,彩晶,52,231,-179,-201.8,11.27
009819,中信數據及電力,10,128,-118,-118.4,10.03
00940,元大台灣價值高息,5,82,-77,-86.2,11.16
2337,旺宏,32,90,-58,-941.1,163.29
3149,正達,13,68,-55,-296.1,53.22
00713,元大台灣高息低波,0,51,-51,-280.0,54.9
,國泰臺灣加權正2,219,270,-51,-486.9,96.22
,大華優利美A債15,0,50,-50,-81.2,16.24
8105,凌巨,2,37,-35,-54.6,15.6
5351,鈺創,7,40,-33,-282.1,85.31
8289,泰藝,2,30,-28,-164.0,58.56
2377,微星,29,56,-27,-323.3,116.78
8422,可寧衛*,4,30,-26,-70.6,27.15
2887,台新新光金,3,29,-26,-60.2,23.16
00900,富邦特選高股息30,0,25,-25,-41.8,17.0
4958,臻鼎-KY,21,45,-24,-1070.7,446.95
1904,正隆,0,22,-22,-41.4,18.8
6147,頎邦,35,56,-21,-412.6,198.37
5880,合庫金,0,20,-20,-46.9,22.85
6506,雙邦,0,20,-20,-38.7,19.36
1314,中石化,14,33,-19,-13.1,7.0
2646,星宇航空,2,20,-18,-36.3,20.16
3576,聯合再生,2,19,-17,-31.3,18.2
1605,華新,9,26,-17,-60.1,35.21
