code,name,weight,shares,price
2883,凱基金控,1.11,3623000,31.05
2890,永豐金控,1.19,3045220,39.05
2885,元大金,1.8,2660000,68.4
2303,聯電,1.94,1603000,123.0
2610,華航,0.29,1434000,20.25
2618,長榮航,0.51,1219000,41.75
2344,華邦電子,2.11,1209000,178.0
2027,大成鋼,0.41,890000,46.45
2891,中信金,0.57,868000,66.8
2347,聯強,0.64,715000,91.0
2408,南亞科,3.04,640000,489.0
3264,欣銓,1.29,603000,216.5
2881,富邦金控,0.7,561000,128.0
3481,群創光電,0.27,549000,50.1
2330,台積電,12.09,508000,2395.0
2882,國泰金,0.43,437000,99.6
1301,台塑,0.23,420000,55.6
3711,日月光投控,2.52,413000,629.0
4904,遠傳,0.4,406000,101.0
3702,大聯大,0.47,386000,125.5
3037,欣興,3.8,386000,992.0
2327,國巨*,2.0,337000,617.0
3189,景碩科技,2.81,333000,842.0
2412,中華電,0.39,289000,136.0
1303,南亞,0.47,250000,190.0
6274,台燿,3.76,239000,1600.0
3231,緯創,0.37,194000,191.0
8046,南電,2.3,185000,1150.0
2308,台達電子,3.0,170000,1805.0
2345,智邦,2.79,128000,2135.0
2454,聯發科,4.66,118000,4020.0
6223,旺矽,6.89,106000,6600.0
6257,矽格,0.21,100000,204.5
2383,台光電子,4.85,86000,5535.0
2360,致茂,1.84,85000,2080.0
3017,奇鋐,2.43,85000,2760.0
2395,研華,0.47,69000,661.0
3081,聯亞光電,1.42,53000,2725.0
6669,緯穎,2.91,49000,5930.0
6515,穎崴,2.82,40000,6920.0
5289,宜鼎國際,0.58,39000,1520.0
3293,鈊象,0.29,38000,781.0
6446,藥華醫藥,0.5,35228,1460.0
3443,創意電子,1.72,34000,4955.0
3653,健策,1.45,33000,4065.0
2059,川湖,3.91,33000,12315.0
7769,鴻勁,1.85,29000,6350.0
3008,大立光電,1.17,26000,4355.0
5274,信驊科技,3.86,22600,17370.0
1590,亞德客-KY,0.27,17000,1560.0
202608TX,台指期貨,1.71,19,0.0
