code,name,weight,shares,price
2027,大成不銹鋼工業,3.77,8199000,44.55
4904,遠傳電信,3.81,3304000,107.5
2412,中華電信,3.86,2513000,140.5
2303,聯華電子,2.41,1950000,126.0
6147,頎邦科技,2.52,1656000,139.5
3036,文曄科技,3.18,1533000,203.5
1216,統一企業,1.1,1303000,77.1
2376,技嘉科技,4.17,1170000,349.5
2891,中國信託金融控股,0.52,771000,63.0
2330,台灣積體電路製造,17.73,714000,2350.0
2344,華邦電子,0.96,611000,160.0
2408,南亞科技,2.57,601000,436.0
2327,國巨,2.73,446000,625.0
4958,臻鼎科技控股,2.06,443000,470.5
1802,台灣玻璃工業,0.21,393000,52.5
2881,富邦金融控股,0.5,363000,130.0
6187,萬潤科技,3.14,300000,962.0
6442,光紅建聖,3.42,255000,1330.0
2395,研華,1.51,249000,577.0
2049,上銀科技,0.57,175000,323.0
3105,穩懋半導體,0.52,149000,323.0
3293,鈊象電子,1.15,146000,723.0
3711,日月光投資控股,0.75,125000,608.0
6446,藥華醫藥,1.48,122000,1195.0
2345,智邦科技,2.6,117000,2240.0
2368,金像電子（股）公司,0.86,98000,895.0
3081,聯亞光電工業,1.55,83000,1710.0
3008,大立光電,3.36,79000,4090.0
3037,欣興電子,0.63,76000,848.0
3661,世芯電子,2.48,73000,3460.0
2317,鴻海精密工業,0.17,64000,253.0
6415,矽力杰,0.28,63000,449.0
2308,台達電子工業,1.02,59000,1755.0
8299,群聯電子,0.95,53000,1650.0
2059,川湖科技,4.06,50000,8275.0
3131,弘塑科技,1.36,49000,2550.0
8046,南亞電路板,0.51,48000,1075.0
2383,台光電子材料,2.31,48000,4815.0
2454,聯發科技,1.66,46000,3680.0
6488,環球晶圓,0.47,45000,959.0
3665,貿聯控股（BizLink Holding In,1.04,43000,2150.0
3017,奇鋐科技,0.85,35000,2400.0
3653,健策精密工業,1.17,32000,3525.0
6669,緯穎科技服務,1.45,25000,5745.0
8996,高力熱處理工業,0.23,23000,995.0
2360,致茂電子,0.46,22000,2100.0
3529,力旺電子,0.24,10000,2200.0
6223,旺矽科技,0.28,5000,5165.0
7769,鴻勁精密,0.25,4000,6110.0
3189,景碩科技,0.01,2000,710.0
