code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
1815,富喬,1009,13,996,11056.4,111.03
3189,景碩,314,7,307,27392.4,889.56
3289,宜特,300,0,300,5235.0,174.5
,元大台灣50反1,91,0,91,91.7,10.05
8150,南茂,101,12,89,885.9,100.0
,主動凱基台灣,115,39,76,75.3,9.85
6116,彩晶,103,52,51,99.9,19.59
1608,華榮,50,0,50,167.3,33.46
,中信中國50正2,50,0,50,40.6,8.12
2618,長榮航,59,11,48,212.9,44.35
2367,燿華,45,1,44,245.5,55.8
0050,元大台灣50,49,10,39,428.7,107.8
2330,台積電,46,7,39,9485.6,2457.47
2883,凱基金,32,0,32,91.3,28.42
2327,國巨*,542,510,32,3452.8,1081.02
2303,聯電,50,24,26,437.7,169.92
2408,南亞科,44,19,25,1145.6,444.9
2903,遠百,25,0,25,57.7,23.07
8039,台虹,28,4,24,358.3,149.27
2006,東和鋼鐵,22,0,22,151.3,68.77
3231,緯創,32,11,21,336.5,160.36
6176,瑞儀,20,0,20,174.2,87.01
1710,東聯,26,6,20,30.9,15.47
8436,大江,20,0,20,232.0,116.0
3380,明泰,15,0,15,51.5,34.3
3481,群創,104,387,-283,-1974.8,69.79
,群益ESG投等債20+,0,200,-200,-303.6,15.18
,元大台灣50正2,15,148,-133,-508.8,38.29
0056,元大高股息,4,118,-114,-602.2,52.74
,主動統一升級50,42,153,-111,-121.8,10.97
6446,藥華藥,3,101,-98,-13456.5,1373.11
00878,國泰永續高股息,4,100,-96,-321.7,33.47
00900,富邦特選高股息30,4,98,-94,-181.4,19.3
00918,大華優利高填息30,0,92,-92,-295.3,32.1
00919,群益台灣精選高息,25,94,-69,-204.6,29.7
3406,玉晶光,0,66,-66,-4366.0,662.02
3450,聯鈞,1,63,-62,-3214.4,515.88
00752,中信中國50,3,60,-57,-119.0,20.88
,主動統一台股增長,25,77,-52,-161.7,31.09
,主動統一全球創新,18,69,-51,-113.2,22.2
,主動台新優勢成長,0,35,-35,-59.6,17.02
2887,台新新光金,0,34,-34,-113.3,33.28
,主動復華未來50,19,46,-27,-55.7,20.64
2409,友達,126,150,-24,-85.1,35.04
1301,台塑,8,32,-24,-127.8,53.94
2353,宏碁,0,23,-23,-76.3,33.19
1314,中石化,0,22,-22,-18.1,8.17
009816,凱基台灣TOP50,6,27,-21,-32.7,15.56
,主動群益科技創新,0,20,-20,-37.0,18.52
8085,福華,0,18,-18,-21.2,11.75
