code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
3481,群創,10388,44,10344,54092.7,52.29
2344,華邦電,6099,323,5776,103883.8,179.88
6116,彩晶,1508,13,1495,2227.3,14.9
1605,華新,564,15,549,2086.3,38.0
6278,台表科,263,83,180,3065.0,170.28
,主動復華未來50,156,47,109,187.5,17.2
2610,華航,103,0,103,220.2,21.38
3450,聯鈞,173,76,97,5056.6,523.18
6290,良維,85,0,85,1771.8,208.45
6770,力積電,114,52,62,429.4,69.16
3264,欣銓,50,0,50,1134.5,227.91
5904,寶雅*,45,0,45,356.4,79.2
,群益臺灣加權反1,40,0,40,4.0,1.01
2359,所羅門,49,15,34,514.3,153.41
4958,臻鼎-KY,33,1,32,1557.9,480.84
,元大台灣50反1,56,25,31,31.6,10.18
4979,華星光,39,14,25,1331.8,532.72
3653,健策,25,1,24,9895.6,4122.31
6451,訊芯-KY,24,1,23,1042.4,453.2
6538,倉和,20,0,20,291.0,145.5
,期元大道瓊白銀,20,0,20,102.3,51.15
2493,揚博,20,0,20,447.3,223.65
6907,雅特力-KY,15,0,15,297.4,198.2
4991,環宇-KY,25,10,15,751.5,504.39
009826,貝萊德世界股票,14,0,14,14.4,10.32
2887,台新新光金,17,511,-494,-1758.7,35.6
4739,康普,0,369,-369,-3225.9,87.42
3211,順達,1,312,-311,-11544.0,371.43
2337,旺宏,1,305,-304,-3859.3,127.01
2104,國際中橡,0,200,-200,-208.2,10.41
6531,愛普*,1,143,-142,-13957.0,981.59
,平衡凱基雙核收息,0,100,-100,-119.5,11.95
2409,友達,0,97,-97,-260.6,26.86
009816,凱基台灣TOP50,10,107,-97,-144.9,15.05
3374,精材,0,93,-93,-3051.5,328.11
2303,聯電,105,183,-78,-906.4,116.04
1303,南亞,620,696,-76,-1274.3,167.45
3231,緯創,3,56,-53,-1011.7,190.53
2891,中信金,2,55,-53,-349.8,66.01
,主動中信台灣收益,0,51,-51,-47.9,9.39
8054,安國,0,50,-50,-424.2,84.84
1563,巧新,0,50,-50,-277.7,55.53
,期元大S&P黃金正2,0,45,-45,-358.2,79.59
2408,南亞科,54,97,-43,-2103.0,485.71
4931,新盛力,0,43,-43,-1016.9,236.49
6265,方土昶,0,42,-42,-236.3,56.25
0056,元大高股息,2,42,-40,-209.0,52.26
3105,穩懋,10,46,-36,-1391.8,384.47
,元大台灣50正2,5,37,-32,-114.2,34.73
8034,榮群,0,32,-32,-60.6,18.94
