code,name,net_shares,net_amount
0056,元大高股息,76,2884.0
6245,立端,63,4394.0
,元大台灣50正2,47,960.0
6770,力積電,43,2350.0
,期元大S&P原油反1,35,584.0
2484,希華,32,979.0
,元大美債20年,26,709.0
00929,復華台灣科技優息,23,432.0
1582,信錦,23,2466.0
00878,國泰永續高股息,22,488.0
3481,群創,22,530.0
,主動群益科技創新,22,296.0
,主動統一台股增長,18,365.0
2313,華通,17,4682.0
2303,聯電,15,818.0
1312,國喬,15,197.0
4949,有成精密,15,974.0
,主動兆豐台灣豐收,15,147.0
1314,中石化,14,115.0
00919,群益台灣精選高息,12,271.0
00939,統一台灣高息動能,12,183.0
6443,元晶,12,479.0
1802,台玻,12,624.0
009814,富邦標普500,11,107.0
,主動統一全球創新,10,130.0
8426,紅木-KY,-80,-2062.0
2409,友達,-59,-1004.0
,國泰10Y+金融債,-50,-804.0
,群益優選非投等債,-36,-347.0
1308,亞聚,-35,-657.0
,元大台灣50反1,-33,-475.0
,主動復華未來50,-18,-242.0
1718,中纖,-15,-110.0
3105,穩懋,-13,-4979.0
8422,可寧衛*,-13,-375.0
6919,康霈*,-13,-1288.0
6274,台燿,-12,-7584.0
1717,長興,-12,-761.0
1101,台泥,-12,-285.0
2884,玉山金,-11,-353.0
6925,意藍,-10,-721.0
,期元大S&P黃金,-10,-497.0
3289,宜特,-10,-1300.0
1304,台聚,-9,-162.0
2027,大成鋼,-9,-346.0
3037,欣興,-9,-4464.0
6213,聯茂,-8,-1417.0
4741,泓瀚,-7,-261.0
6127,九豪,-7,-285.0
2002,中鋼,-7,-131.0
