code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
2409,友達,660,403,257,573.6,22.32
00919,群益台灣精選高息,252,24,228,658.9,28.89
009816,凱基台灣TOP50,107,56,51,77.5,15.19
2345,智邦,51,1,50,12201.9,2424.38
1609,大亞,90,50,40,160.1,40.21
4939,亞電,69,33,36,173.8,48.29
3016,嘉晶,48,15,33,450.1,136.38
1312,國喬,30,0,30,32.3,10.75
1409,新纖,30,0,30,68.4,22.8
1563,巧新,28,1,27,178.9,66.4
,主動統一全球創新,26,5,21,43.9,21.89
,元大美債1-3,20,0,20,61.5,30.74
2369,菱生,42,23,19,76.2,39.29
2303,聯電,52,35,17,251.9,141.06
6282,康舒,24,7,17,100.8,59.58
1802,台玻,19,4,15,108.1,71.56
,主動元大AI新經濟,16,1,15,29.9,19.95
2316,楠梓電,12,0,12,205.1,170.92
9105,泰金寶-DR,27,15,12,10.7,8.9
2362,藍天,18,6,12,50.5,42.11
1513,中興電,12,1,11,185.5,165.64
6005,群益證,10,0,10,38.7,38.34
6155,鈞寶,15,5,10,64.8,64.67
8059,凱碩,10,0,10,19.1,19.05
5425,台半,26,17,9,102.4,113.78
2344,華邦電,10,102,-92,-1436.8,156.74
3481,群創,136,216,-80,-409.1,51.39
,主動統一升級50,97,170,-73,-78.6,10.7
5314,世紀*,0,56,-56,-349.6,62.43
2324,仁寶,12,66,-54,-198.0,36.08
,群益優選非投等債,0,50,-50,-47.9,9.58
00918,大華優利高填息30,0,41,-41,-118.1,29.15
3231,緯創,0,39,-39,-615.8,157.24
3714,富采,2,40,-38,-273.1,73.49
6770,力積電,1165,1201,-36,-384.5,105.89
0056,元大高股息,2,31,-29,-145.7,50.04
,主動統一台股增長,108,136,-28,-88.2,31.02
1301,台塑,2,29,-27,-126.2,46.72
2356,英業達,37,63,-26,-181.4,70.03
2610,華航,0,25,-25,-47.5,19.0
,元大台灣50反1,89,112,-23,-22.7,10.08
0052,富邦科技,6,27,-21,-131.7,61.22
1326,台化,2,24,-22,-105.3,49.23
3706,神達,5,26,-21,-191.4,89.44
8112,至上,30,51,-21,-187.4,89.25
0050,元大台灣50,11,31,-20,-210.7,104.25
1402,遠東新,0,20,-20,-51.3,25.65
00938,凱基優選30,0,20,-20,-43.8,21.91
2605,新興,0,20,-20,-62.8,31.38
2615,萬海,0,20,-20,-164.0,82.0
