code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
4763,材料*-KY,313,0,313,1502.3,47.99
00919,群益台灣精選高息,145,2,143,463.7,32.27
3481,群創,299,204,95,479.5,50.66
,主動野村臺灣高息,88,0,88,100.1,11.37
00712,復華富時不動產,86,0,86,68.1,7.9
,主動野村臺灣優選,88,7,81,206.5,25.64
1314,中石化,83,7,76,66.9,8.79
4416,三圓,76,5,71,100.6,14.17
,主動國泰動能高息,91,42,49,75.9,15.66
2493,揚博,50,3,47,874.0,186.34
6015,宏遠證,47,5,42,75.6,18.0
5880,合庫金,38,0,38,103.1,27.14
4956,光鋐,135,101,34,111.8,32.87
8069,元太,40,6,34,496.3,146.41
3022,威強電,33,0,33,308.0,93.33
2542,興富發,32,0,32,150.5,45.74
2408,南亞科,56,28,28,1475.4,515.39
1609,大亞,26,3,23,87.4,38.0
0056,元大高股息,26,5,21,124.4,57.26
1802,台玻,39,18,21,124.3,59.15
6443,元晶,27,6,21,61.8,29.56
3231,緯創,21,1,20,375.9,182.29
6672,騰輝電子-KY,23,3,20,622.9,309.92
2406,國碩,63,44,19,59.0,31.07
00713,元大台灣高息低波,18,0,18,114.7,63.64
,主動復華全球50,0,1108,-1108,-1121.7,10.12
,主動統一升級50,27,1002,-975,-1049.8,10.76
2409,友達,402,639,-237,-863.9,36.45
,主動凱基台灣,19,252,-233,-237.0,10.15
,元大台灣50正2,84,252,-168,-660.2,39.19
9945,潤泰新,0,139,-139,-407.9,29.35
009816,凱基台灣TOP50,36,160,-124,-204.9,16.52
0050,元大台灣50,17,131,-114,-1290.0,113.25
,主動復華未來50,22,133,-111,-202.2,18.23
2303,聯電,109,213,-104,-1747.6,166.67
,主動統一台股增長,70,164,-94,-288.7,30.54
,元大台灣50反1,51,135,-84,-79.0,9.41
2324,仁寶,27,87,-60,-221.9,37.01
2880,華南金,0,48,-48,-228.3,46.7
2845,遠東銀,0,47,-47,-63.5,13.5
,群益臺灣加權正2,41,86,-45,-59.6,13.08
2332,友訊,11,55,-44,-90.9,20.65
009829,大華韓國KOSPI50,0,36,-36,-40.2,11.16
,期元大S&P原油反1,0,34,-34,-35.9,10.55
,主動群益台灣強棒,0,34,-34,-78.9,23.2
,主動富邦台灣龍耀,7,38,-31,-29.0,9.31
2327,國巨*,13,44,-31,-1771.9,579.64
2444,兆勁,0,30,-30,-43.5,14.5
,凱基A級公司債,0,29,-29,-39.3,13.54
6182,合晶,24,50,-26,-318.1,121.61
