code,name,weight,shares,price
3264,欣銓,3.94,7078000,189.0
6257,矽格,3.29,6338000,176.0
1785,光洋科,1.57,4611000,115.5
3105,穩懋,5.4,3946000,464.0
2347,聯強,0.86,3693000,79.3
5536,聖暉*,7.12,3340000,723.0
3036,文曄,2.05,3090000,225.5
4958,臻鼎-KY,2.07,2654000,265.0
6285,啟碁,1.66,2497000,225.5
2303,聯電,0.45,2445000,62.0
6139,亞翔,4.27,2278000,636.0
6177,達麗,0.25,1784350,47.25
2330,台積電,8.65,1468000,2000.0
6147,頎邦,0.45,1446000,106.0
4938,和碩,0.29,1236000,80.7
2472,立隆電,0.53,1210000,148.0
3030,德律,1.01,1135000,303.0
2885,元大金,0.16,1102420,47.7
2313,華通,0.87,1033000,286.0
2360,致茂,4.5,855000,1785.0
3211,順達,0.86,780000,375.0
2345,智邦,3.89,719000,1835.0
2308,台達電,3.53,690000,1735.0
6488,環球晶,0.99,683000,490.5
3491,昇達科,2.88,539000,1815.0
3017,奇鋐,3.59,538000,2265.0
2467,志聖,0.85,534000,542.0
6805,富世達,2.75,501000,1865.0
6669,緯穎,4.93,461000,3630.0
2383,台光電,4.61,457000,3420.0
2454,聯發科,2.06,443000,1575.0
8996,高力,1.14,373000,1040.0
2404,漢唐,1.0,368000,926.0
1319,東陽,0.08,355000,80.5
3376,新日興,0.22,355000,206.5
3711,日月光投控,0.4,349000,393.0
6223,旺矽,3.76,276000,4620.0
5289,宜鼎,0.93,274000,1155.0
7769,鴻勁,3.21,259000,4200.0
6274,台燿,0.53,223000,808.0
6691,洋基工程,0.3,159000,630.0
2368,金像電,0.5,155000,1090.0
8464,億豐,0.15,142000,356.0
3583,辛耘,0.24,120000,673.0
3533,嘉澤,0.74,111000,2270.0
2059,川湖,1.05,106000,3355.0
8046,南電,0.2,103000,667.0
3131,弘塑,0.83,89000,3170.0
4441,振大環球,0.03,59000,194.5
3665,貿聯-KY,0.38,58136,2200.0
3008,大立光,0.35,51000,2310.0
2548,華固,0.01,29600,127.5
3529,力旺,0.2,23000,2955.0
5274,信驊,0.22,6000,12580.0
3706,神達,0.0,1400,83.0
8358,金居,0.0,1000,273.5
2886,兆豐金,0.0,1000,39.85
3443,創意,0.01,1000,2665.0
6510,精測,0.01,1000,3485.0
1519,華城,0.0,600,814.0
2881,富邦金,0.0,250,87.6
