code,name,weight,shares
2884,玉山金融控股,1.63,5387622
2891,中國信託金融控股,2.47,5270000
2344,華邦電子,2.31,2311000
2317,鴻海精密工業,3.98,2004000
2881,富邦金融控股,1.65,1989575
2027,大成不銹鋼工業,0.57,1772000
3231,緯創資通,1.6,1420000
4915,致伸科技,0.82,1162000
3036,文曄科技,1.61,1043000
2382,廣達電腦,2.38,967000
3264,欣銓科技,1.21,936000
2408,南亞科技,1.92,764000
2330,台灣積體電路製造,9.29,563000
2449,京元電子,1.54,559000
3044,健鼎科技,1.38,411000
2308,台達電子工業,4.34,383000
2368,金像電子（股）公司,2.59,365000
1477,聚陽實業,1.0,357000
5234,達興材料,1.18,333000
6274,台燿科技,1.53,327000
2376,技嘉科技,0.64,323000
3526,凡甲科技,0.77,313000
5434,崇越科技,0.83,285000
8210,勤誠興業,1.98,256000
2379,瑞昱半導體,0.98,236000
2454,聯發科技,3.26,209000
6584,南俊國際,0.79,209000
2345,智邦科技,2.44,201000
3017,奇鋐科技,2.56,194000
2327,國巨,0.47,192000
3665,貿聯控股（BizLink Holding In,1.99,177336
5904,寶雅國際,0.7,175450
2360,致茂電子,1.64,164000
3293,鈊象電子,0.95,160000
8996,高力熱處理工業,1.21,159000
2383,台光電子材料,2.32,123000
1519,華城電機,1.02,122000
6805,富世達,1.38,107000
1590,亞德客國際集團,0.9,88000
8299,群聯電子,1.45,87000
7769,鴻勁精密,3.17,83000
2059,川湖科技,2.08,79000
6669,緯穎科技服務,2.45,74000
6442,光紅建聖,1.25,71000
6223,旺矽科技,1.68,69000
3653,健策精密工業,1.71,64000
4749,新應材,0.42,55000
3443,創意電子,0.99,48000
6515,穎崴科技,1.51,37000
6510,中華精測科技,0.83,25000
