code,name,weight,shares
ACHR US,阿徹航空公司,1.25,181003
TXG US,10X Genomics Inc,2.31,126095
RXRX US,利可迅生技公司,0.41,121749
TEM US,Tempus AI Inc,6.39,115068
BEAM US,光束治療公司,2.99,96465
SOFI US,SoFi Technologies Inc,1.4,78155
HOOD US,羅賓漢市場公司,4.58,65150
PACB US,加州太平洋生技科技公司,0.09,59677
ROKU US,Roku Inc,4.73,56302
CRSP US,CRISPR治療公司,2.95,54223
PLTR US,帕蘭提爾科技公司,5.6,45310
BMNR US,BitMine Immersion Technologi,0.81,43552
SHOP US,Shopify公司,4.87,43449
CERS US,Cerus公司,0.09,40375
NTLA US,英特利亞治療公司,0.51,39350
TWST US,Twist Bioscience Corp,1.69,36271
KTOS US,克瑞拓斯安全防衛公司,2.85,32829
CRCL US,Circle Internet Group Inc,1.87,31849
XYZ US,布洛克公司,1.36,27844
VCYT US,Veracyte公司,0.83,24281
TER US,泰瑞達公司,6.93,21973
TSLA US,特斯拉公司,8.56,21823
PSTG US,PureStorage公司,1.11,17065
AMD US,超微半導體公司,3.22,15702
ILMN US,伊魯米納公司,1.82,15453
WGS US,GeneDx控股公司,1.05,13529
ABNB US,愛彼迎公司,1.5,12486
NVDA US,輝達,2.19,11846
CRWV US,CoreWeave Inc,1.06,11187
BWXT US,BWX科技股份有限公司,2.06,10526
SDGR US,美國施羅丁格公司,0.11,9944
AMZN US,亞馬遜公司,1.99,9936
NTRA US,那提拉公司,1.61,8000
TSM US,台積電,2.59,6994
BIDU US,百度股份有限公司,0.88,6891
BABA US,阿里巴巴,0.9,6114
GOOGL US,Alphabet公司 Class A,0.77,2595
META US,Meta平台公司,1.59,2592
AVGO US,博通公司,0.67,2139
DE US,迪爾,1.11,1791
MELI US,MercadoLibre Inc,1.55,839
