code,name,net_shares,net_amount
,國泰臺灣加權反1,1680,3874.0
,主動群益台灣強棒,483,7957.0
2419,仲琦,257,9080.0
3481,群創,178,4479.0
,元大台灣50反1,151,2146.0
,期元大S&P黃金反1,90,474.0
,主動兆豐台灣豐收,53,527.0
00919,群益台灣精選高息,49,1105.0
6116,彩晶,45,378.0
,主動復華未來50,44,545.0
6770,力積電,40,2183.0
6658,聯策,34,2570.0
3596,智易,30,5010.0
,中信中國50正2,30,308.0
3576,聯合再生,29,628.0
1785,光洋科,27,2438.0
2485,兆赫,25,2035.0
2231,為升,24,2850.0
4960,誠美材,22,502.0
3049,精金,22,258.0
1528,恩德,20,557.0
8034,榮群,20,469.0
6227,茂綸,19,1797.0
2072,世紀風電,18,3362.0
8028,昇陽半導體,18,3477.0
,主動群益科技創新,-961,-12578.0
2409,友達,-195,-3107.0
009816,凱基台灣TOP50,-189,-2012.0
2367,燿華,-138,-10590.0
1584,精剛,-107,-2357.0
,主動統一台股增長,-91,-1856.0
2834,臺企銀,-80,-1212.0
0056,元大高股息,-78,-2948.0
,主動安聯台灣,-72,-754.0
3380,明泰,-67,-2485.0
,群益ESG投等債20+,-60,-895.0
2104,國際中橡,-59,-727.0
,主動元大AI新經濟,-52,-608.0
2501,國建,-50,-1141.0
,台新美國非投等債,-40,-397.0
0050,元大台灣50,-40,-2977.0
1303,南亞,-36,-2914.0
1802,台玻,-36,-1995.0
2337,旺宏,-36,-4581.0
00752,中信中國50,-36,-861.0
3231,緯創,-31,-3896.0
6477,安集,-30,-1006.0
2002,中鋼,-28,-548.0
2891,中信金,-26,-1412.0
00878,國泰永續高股息,-23,-525.0
