code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
009816,凱基台灣TOP50,274,18,256,354.1,13.83
,主動群益科技創新,325,95,230,412.3,17.91
,主動野村臺灣高息,183,25,158,163.0,10.31
00915,凱基優選高股息30,151,0,151,388.7,25.74
,主動國泰動能高息,56,11,45,61.9,13.54
2313,華通,58,15,43,1107.7,255.97
2324,仁寶,29,0,29,84.5,29.08
2449,京元電子,41,13,28,946.0,336.54
1802,台玻,71,45,26,193.1,73.16
,主動群益台灣強棒,26,1,25,55.1,22.05
2342,茂矽,30,9,21,88.2,42.01
,主動第一金台股優,21,1,20,35.2,17.59
,復華香港正2,20,0,20,35.3,17.64
2405,輔信,20,0,20,30.5,15.25
2820,華票,19,0,19,31.9,16.8
3576,聯合再生,17,0,17,27.1,15.97
009819,中信數據及電力,41,24,17,17.4,10.25
2367,燿華,32,16,16,90.6,59.22
2002,中鋼,14,0,14,27.3,18.85
2399,映泰,38,25,13,58.9,45.3
00891,中信關鍵半導體,13,0,13,43.9,33.73
3450,聯鈞,13,0,13,472.9,364.31
00929,復華台灣科技優息,12,0,12,29.0,24.4
,主動復華未來50,21,10,11,20.4,17.77
4973,廣穎,21,10,11,106.6,96.91
,主動統一台股增長,232,700,-468,-1343.9,28.75
0056,元大高股息,1,468,-467,-2043.4,43.75
1605,華新,5,111,-106,-346.1,32.65
2303,聯電,11,97,-86,-766.6,89.75
3481,群創,45,116,-71,-202.4,28.53
,國泰20年美債,0,51,-51,-142.0,27.84
1101,台泥,9,55,-46,-115.3,25.15
2337,旺宏,74,108,-34,-583.2,174.15
3231,緯創,3,33,-30,-431.7,144.8
2408,南亞科,13,40,-27,-762.7,282.36
00940,元大台灣價值高息,0,26,-26,-28.8,10.82
2344,華邦電,6,32,-26,-286.1,108.56
,元大美債20年,0,26,-26,-69.6,26.77
,元大美債20正2,0,25,-25,-17.3,6.92
2027,大成鋼,0,23,-23,-87.9,38.23
2317,鴻海,22,44,-22,-529.8,249.97
2402,毅嘉,4,25,-21,-149.7,71.38
,中信中國50正2,0,20,-20,-21.3,10.67
5347,世界,0,19,-19,-320.6,168.47
2382,廣達,3,20,-17,-555.8,332.35
2354,鴻準,10,26,-16,-101.8,63.17
,主動統一全球創新,16,32,-16,-30.5,19.06
00919,群益台灣精選高息,22,38,-16,-39.3,24.86
2434,統懋,0,15,-15,-49.5,33.0
00662,富邦NASDAQ,0,14,-14,-159.9,114.2
