code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
00918,大華優利高填息30,109,3,106,345.6,32.44
6770,力積電,103,30,73,516.6,70.25
,元大台灣50反1,50,7,43,44.0,10.23
5880,合庫金,40,0,40,99.2,24.81
2399,映泰,50,13,37,203.2,54.76
2303,聯電,57,20,37,515.6,139.54
2002,中鋼,45,11,34,63.6,18.72
4976,佳凌,35,3,32,131.7,41.16
2353,宏碁,31,1,30,106.2,35.01
2332,友訊,30,3,27,46.3,17.14
,元大台灣50正2,44,21,23,85.6,36.08
2883,凱基金,30,7,23,69.5,30.48
3624,光頡,27,5,22,309.7,143.05
0056,元大高股息,21,0,21,108.6,51.8
2495,普安,22,2,20,106.3,53.15
2337,旺宏,53,37,16,257.8,157.69
8431,匯鑽科,18,2,16,93.4,58.34
1714,和桐,16,1,15,30.0,19.16
6742,澤米,16,1,15,98.5,65.65
2340,台亞,17,2,15,58.5,39.01
,主動中信台灣收益,15,0,15,15.0,10.03
6209,今國光,24,10,14,137.8,97.72
1326,台化,13,0,13,67.7,52.1
4707,磐亞,26,13,13,28.9,22.21
6116,彩晶,23,10,13,22.9,17.63
00878,國泰永續高股息,5,456,-451,-1493.3,33.1
2409,友達,39,291,-252,-650.0,25.78
3481,群創,39,188,-149,-868.7,58.2
009816,凱基台灣TOP50,14,136,-122,-188.6,15.4
00955,中信日本商社,0,107,-107,-154.0,14.39
,主動統一升級50,65,146,-81,-86.5,10.68
2867,三商壽,100,180,-80,-69.2,8.65
2618,長榮航,2,82,-80,-343.2,42.9
0050,元大台灣50,11,79,-68,-717.7,106.02
00919,群益台灣精選高息,6,67,-61,-185.0,30.21
00940,元大台灣價值高息,0,57,-57,-71.2,12.47
2520,冠德,0,40,-40,-142.4,35.88
,主動復華未來50,1,36,-35,-69.6,19.9
,主動統一台股增長,8,42,-34,-102.5,30.78
2498,宏達電,2,33,-31,-150.1,47.63
6213,聯茂,1,29,-28,-746.1,266.46
1303,南亞,4,30,-26,-325.4,125.12
6180,橘子,2,28,-26,-130.1,50.04
3231,緯創,6,28,-22,-356.9,162.66
,主動安聯美國科技,4,24,-20,-19.9,9.95
2886,兆豐金,0,19,-19,-85.0,44.98
3105,穩懋,0,18,-18,-882.2,489.59
3630,新鉅科,0,18,-18,-64.8,35.94
1301,台塑,0,17,-17,-80.7,47.49
4924,欣厚-KY,0,16,-16,-18.9,11.79
