code,name,net_shares,net_amount
009816,凱基台灣TOP50,358,3735.0
2610,華航,350,6471.0
2027,大成鋼,188,6960.0
,元大投資級公司債,120,3963.0
00919,群益台灣精選高息,112,2521.0
,主動統一台股增長,106,2152.0
0050,元大台灣50,87,6386.0
1785,光洋科,67,6461.0
2344,華邦電,65,6121.0
2890,永豐金,59,1821.0
3481,群創,44,1044.0
3715,定穎投控,37,7404.0
,主動統一全球創新,33,412.0
1907,永豐餘,32,883.0
00918,大華優利高填息30,31,700.0
,主動元大AI新經濟,31,363.0
0052,富邦科技,30,1322.0
00712,復華富時不動產,30,255.0
6505,台塑化,27,1566.0
3576,聯合再生,27,590.0
0056,元大高股息,26,1017.0
2313,華通,26,6903.0
2409,友達,24,339.0
,主動安聯台灣,23,241.0
4903,聯光通,22,1009.0
,元大台灣50反1,-113,-1659.0
,主動群益台灣強棒,-109,-1778.0
2605,新興,-101,-4362.0
6016,康和證,-74,-1247.0
,主動野村臺灣優選,-70,-1207.0
1314,中石化,-64,-541.0
,國泰20年美債,-63,-1774.0
,期元大S&P石油,-51,-1423.0
,元大美債20年,-50,-1357.0
6821,聯寶,-50,-2920.0
1303,南亞,-46,-3794.0
1326,台化,-42,-2081.0
4906,正文,-40,-1438.0
4207,環泰,-40,-784.0
,群益優選非投等債,-37,-355.0
1305,華夏,-31,-568.0
6672,騰輝電子-KY,-29,-3610.0
1308,亞聚,-28,-536.0
1718,中纖,-25,-191.0
2337,旺宏,-25,-2893.0
2393,億光,-23,-1571.0
3221,台嘉碩,-21,-798.0
,中信高評級公司債,-20,-667.0
1714,和桐,-20,-200.0
2462,良得電,-20,-444.0
