code,name,weight,shares,price
2441,超豐,2.32,8180000,84.5
3264,欣銓,3.72,6992000,166.0
6257,矽格,3.17,6338000,149.5
1785,光洋科,1.35,4597000,91.9
2316,楠梓電,1.32,4125000,97.3
5536,聖暉*,7.69,3340000,718.0
3105,穩懋,4.01,3325000,376.5
2421,建準,1.36,3307925,123.0
3036,文曄,2.23,3090000,217.0
2428,興勤,1.52,3050000,149.5
4958,臻鼎-KY,1.87,2654000,206.5
2449,京元電子,2.24,2488000,261.0
6139,亞翔,3.83,2278000,524.0
5439,高技,1.74,1923000,282.5
6177,達麗,0.27,1784350,46.85
2330,台積電,8.52,1432000,1760.0
2472,立隆電,0.52,1223000,126.0
2885,元大金,0.17,1102420,44.75
2481,強茂,0.29,1028000,86.4
2360,致茂,4.41,855000,1465.0
2345,智邦,3.83,719000,1510.0
2308,台達電,3.26,690000,1380.0
8210,勤誠,1.63,564000,867.0
3324,雙鴻,1.6,543000,920.0
3491,昇達科,2.58,539000,1495.0
3017,奇鋐,3.64,538000,1990.0
6805,富世達,3.09,501000,1750.0
2451,創見,0.34,464000,211.0
6669,緯穎,5.06,461000,3300.0
2383,台光電,4.19,457000,2600.0
2454,聯發科,2.08,443000,1490.0
2327,國巨*,0.32,403000,243.5
8996,高力,1.09,373000,846.0
2404,漢唐,0.98,368000,821.0
1319,東陽,0.09,355000,80.6
3376,新日興,0.22,355000,191.0
3711,日月光投控,0.4,349000,328.5
5289,宜鼎,0.85,286000,931.0
6223,旺矽,3.5,276000,3950.0
7769,鴻勁,3.2,259000,3505.0
6274,台燿,0.37,186000,623.0
2368,金像電,0.47,155000,860.0
8464,億豐,0.16,142000,330.0
2059,川湖,1.17,106000,3175.0
8046,南電,0.19,103000,522.0
4441,振大環球,0.04,59000,190.5
3665,貿聯-KY,0.36,58136,1740.0
3008,大立光,0.36,51000,2155.0
2548,華固,0.01,29600,120.0
3529,力旺,0.2,23000,2725.0
5274,信驊,0.22,6000,11315.0
3706,神達,0.0,1400,73.8
8358,金居,0.0,1000,243.0
2886,兆豐金,0.0,1000,38.45
3443,創意,0.01,1000,2165.0
6510,精測,0.01,1000,3355.0
1519,華城,0.0,600,787.0
2881,富邦金,0.0,250,86.0
