code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
,主動統一升級50,2944,725,2219,2237.1,10.08
,主動統一台股增長,493,233,260,748.0,28.78
009816,凱基台灣TOP50,724,505,219,304.9,13.93
,中信中國50正2,224,24,200,212.7,10.63
2408,南亞科,285,88,197,6327.9,322.37
2324,仁寶,216,31,185,534.8,28.87
,主動群益科技創新,176,30,146,260.3,17.71
,主動統一全球創新,152,10,142,282.4,19.89
,主動群益台灣強棒,142,15,127,291.3,22.84
2515,中工,126,0,126,156.9,12.41
2409,友達,312,187,125,236.1,18.81
,主動復華未來50,182,66,116,203.8,17.55
1314,中石化,113,3,110,74.6,6.79
8071,能率網通,87,6,81,153.5,18.95
2481,強茂,138,77,61,730.4,120.33
6265,方土昶,58,1,57,256.4,44.99
1301,台塑,76,21,55,252.1,45.97
2834,臺企銀,53,2,51,81.9,15.97
00891,中信關鍵半導體,57,9,48,166.6,34.58
2382,廣達,73,27,46,1415.9,309.8
2367,燿華,65,21,44,279.6,62.31
2313,華通,101,59,42,1016.1,238.25
2327,國巨*,100,57,43,2039.6,483.3
2609,陽明,43,2,41,198.2,48.21
6153,嘉聯益,52,11,41,71.1,17.34
6116,彩晶,158,768,-610,-625.0,10.26
3481,群創,683,1019,-336,-1252.6,37.26
,主動野村臺灣高息,82,360,-278,-287.1,10.35
1409,新纖,2,251,-249,-422.1,16.95
,國泰臺灣加權反1,0,213,-213,-38.4,1.8
,元大台灣50正2,272,466,-194,-646.0,33.4
,群益臺灣加權反1,75,237,-162,-18.2,1.12
6770,力積電,373,521,-148,-987.1,66.99
7777,能率亞洲,17,164,-147,-517.4,35.32
,主動國泰動能高息,88,211,-123,-162.9,13.26
,主動群益美國增長,14,132,-118,-147.5,12.5
009819,中信數據及電力,17,104,-87,-88.8,10.23
2317,鴻海,109,192,-83,-2146.8,255.93
6239,力成,6,78,-72,-1765.8,244.37
2887,台新新光金,2,63,-61,-145.0,23.69
3592,瑞鼎,0,60,-60,-1497.0,249.51
3498,陽程,3,63,-60,-890.7,149.02
5443,均豪,15,75,-60,-769.0,128.78
2002,中鋼,46,105,-59,-108.6,18.19
00919,群益台灣精選高息,97,155,-58,-153.5,26.2
2392,正崴,13,71,-58,-191.7,33.34
3576,聯合再生,13,65,-52,-89.0,17.11
4746,台耀,0,50,-50,-273.0,54.6
8234,新漢,1,51,-50,-358.9,71.8
2312,金寶,29,79,-50,-141.3,28.33
