code,name,net_shares,net_amount
2409,友達,819,13669.0
,主動統一台股增長,216,4497.0
3049,精金,82,916.0
3434,哲固,50,1418.0
2426,鼎元,49,2087.0
2344,華邦電,43,3839.0
2002,中鋼,38,743.0
0056,元大高股息,28,1073.0
1711,永光,22,760.0
2485,兆赫,20,1595.0
2812,台中銀,20,417.0
4958,臻鼎-KY,18,4131.0
4906,正文,18,651.0
2442,新美齊,17,345.0
,元大台灣50反1,16,225.0
,國泰臺灣加權反1,15,34.0
,期街口布蘭特正2,14,919.0
2027,大成鋼,12,459.0
2367,燿華,11,825.0
2317,鴻海,11,2020.0
,富邦NASDAQ反1,10,30.0
2610,華航,10,182.0
6179,亞通,10,239.0
2884,玉山金,10,322.0
4549,桓達,10,1060.0
00919,群益台灣精選高息,-308,-6947.0
009815,大華美國MAG7+,-198,-1834.0
009816,凱基台灣TOP50,-122,-1300.0
1528,恩德,-78,-2062.0
3576,聯合再生,-65,-1308.0
2303,聯電,-50,-2937.0
00712,復華富時不動產,-43,-367.0
1815,富喬,-41,-4162.0
,平衡凱基雙核收息,-35,-393.0
2609,陽明,-35,-1817.0
,台新美國非投等債,-30,-300.0
,國泰20年美債,-30,-854.0
2489,瑞軒,-28,-967.0
6770,力積電,-24,-1296.0
2481,強茂,-23,-2329.0
,主動復華未來50,-23,-290.0
6182,合晶,-15,-470.0
1802,台玻,-13,-703.0
,期元大S&P石油,-12,-367.0
1303,南亞,-12,-975.0
5243,乙盛-KY,-11,-1062.0
8422,可寧衛*,-11,-315.0
0050,元大台灣50,-11,-823.0
2327,國巨*,-10,-2580.0
5546,永固-KY,-10,-169.0
