code,name,weight,shares,price
2313,華通,1.8,1490000,263.0
NOK US,NOKIA CORP-SPON ADR,1.08,945396,0.0
2449,京元電子,0.93,746000,272.0
268A JP,RIGAKU HOLDINGS CORP,1.33,651500,0.0
2308,台達電,4.25,628000,1485.0
AIXA GR,AIXTRON SE,2.76,503734,0.0
2330,台積電,4.05,497000,1780.0
3037,欣興,1.07,475000,493.5
2368,金像電,1.37,330000,898.0
6590 JP,SHIBAURA MECHATRONICS CORP,1.2,293400,0.0
2345,智邦,1.64,221000,1635.0
6274,台燿,0.6,214000,602.0
2360,致茂,1.43,198000,1625.0
INTC US,INTEL CORP,0.97,157700,0.0
TSEM US,TOWER SEMICONDUCTOR LTD,3.58,145349,0.0
6941 JP,YAMAICHI ELECTRONICS CO LTD,1.07,145200,0.0
2383,台光電,1.88,144000,2785.0
005930 KP,SAMSUNG ELECTRONICS CO LTD,2.44,143231,0.0
SOI FP,S.O.I.T.E.C.,1.27,142945,0.0
PL US,PLANET LABS PBC,0.6,136600,0.0
3017,奇鋐,1.28,130000,2135.0
FSLY US,FASTLY INC - CLASS A,0.48,123200,0.0
3653,健策,1.99,110000,3890.0
GLW US,CORNING INC,2.06,105095,0.0
4062 JP,IBIDEN CO LTD,0.72,96900,0.0
MU US,MICRON TECHNOLOGY INC,4.94,96571,0.0
5801 JP,FURUKAWA ELECTRIC CO LTD,2.6,94100,0.0
5706 JP,MITSUI KINZOKU CO LTD,2.58,92300,0.0
CRCL US,CIRCLE INTERNET GROUP INC,1.22,90812,0.0
LITE US,LUMENTUM HOLDINGS INC,8.17,81252,0.0
TER US,TERADYNE INC,3.39,80100,0.0
ENR GR,SIEMENS ENERGY AG,1.86,78915,0.0
6787 JP,MEIKO ELECTRONICS CO LTD,1.87,73200,0.0
BE US,BLOOM ENERGY CORP- A,1.36,71100,0.0
NVDA US,NVIDIA CORP,1.51,63050,0.0
SNDK US,SANDISK CORP,5.33,60433,0.0
5803 JP,FUJIKURA LTD,1.46,59000,0.0
AXTI US,AXT INC,0.48,55200,0.0
CIEN US,CIENA CORP,3.01,52342,0.0
SMHN GR,SUSS MICROTEC SE,0.44,51632,0.0
6227 JP,AIMECHATEC LTD,0.81,50500,0.0
RKLB US,ROCKET LAB CORP,0.42,48686,0.0
KEYS US,KEYSIGHT TECHNOLOGIES IN,1.67,41900,0.0
WDC US,WESTERN DIGITAL CORP,1.63,41462,0.0
ASTS US,AST SPACEMOBILE INC,0.45,40100,0.0
AMD US,ADVANCED MICRO DEVICES,0.97,33700,0.0
3110 JP,NITTO BOSEKI CO LTD,0.59,30800,0.0
AKAM US,AKAMAI TECHNOLOGIES INC,0.49,30000,0.0
6223,旺矽,0.49,30000,3735.0
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,1.0,24303,0.0
4971 JP,MEC CO LTD,0.14,22800,0.0
GEV US,GE VERNOVA INC,2.2,18000,0.0
COHR US,COHERENT CORP,0.46,13300,0.0
3533,嘉澤,0.1,10000,2220.0
5274,信驊,0.52,10000,11220.0
ASML US,ASML HOLDING NV-NY REG SHS,1.3,6960,0.0
