code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
3481,群創,5497,942,4555,12445.8,27.32
6488,環球晶,947,39,908,60337.3,664.91
,主動統一台股增長,2769,1913,856,2535.1,29.64
6182,合晶,1053,202,851,4139.6,48.62
8071,能率網通,802,4,798,1412.5,17.7
00891,中信關鍵半導體,739,7,732,2435.7,33.26
6147,頎邦,788,279,509,9632.1,189.21
6426,統新,522,13,509,12483.5,245.26
6432,今展科,364,12,352,1501.4,42.65
2633,台灣高鐵,353,6,347,916.1,26.4
5371,中光電,330,20,310,2281.8,73.68
6928,攸泰科技,309,11,298,1560.4,52.36
6199,天品,310,18,292,2689.2,92.1
00878,國泰永續高股息,358,116,242,640.4,26.52
8155,博智,269,41,228,10059.8,440.99
,主動復華未來50,288,62,226,396.0,17.48
2417,圓剛,233,9,224,1265.6,56.64
,主動野村臺灣高息,714,517,197,199.4,10.11
3049,精金,181,16,165,230.3,13.95
,主動野村臺灣優選,177,15,162,369.3,22.74
2409,友達,1142,986,156,274.0,17.49
,主動群益科技創新,240,90,150,268.2,17.88
2890,永豐金,150,4,146,445.4,30.55
,主動群益台灣強棒,175,31,144,317.9,22.07
6579,研揚,121,0,121,1650.7,136.47
2834,臺企銀,18,6502,-6484,-10454.3,16.12
2449,京元電子,74,3406,-3332,-118489.2,355.61
3260,威剛,60,2732,-2672,-118672.4,444.15
1809,中釉,175,2254,-2079,-6252.0,30.07
6588,東典光電,9,675,-666,-10467.8,157.0
2458,義隆,2,305,-303,-4211.7,139.0
,群益優選非投等債,9,280,-271,-262.1,9.67
0056,元大高股息,126,387,-261,-1107.6,42.45
2303,聯電,386,645,-259,-2154.3,83.13
00940,元大台灣價值高息,9,256,-247,-263.0,10.64
2317,鴻海,85,328,-243,-5694.2,234.31
1303,南亞,167,409,-242,-2235.8,92.43
4938,和碩,6,230,-224,-1813.7,81.05
2010,春源,0,200,-200,-498.3,24.91
3167,大量,3,196,-193,-14912.4,773.19
2344,華邦電,226,396,-170,-1661.8,97.78
2354,鴻準,409,576,-167,-968.6,57.78
6163,華電網,5,155,-150,-874.1,58.27
1802,台玻,202,332,-130,-903.6,69.72
6246,臺龍,0,124,-124,-223.7,18.04
5481,新華,110,229,-119,-264.3,22.21
3264,欣銓,212,328,-116,-2598.1,222.8
,台新美國非投等債,0,100,-100,-100.0,10.0
009816,凱基台灣TOP50,1058,1158,-100,-133.4,13.38
3024,憶聲,210,295,-85,-117.5,13.83
