code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
,主動統一台股增長,849,31,818,2538.0,31.04
,主動聯博動能50,184,6,178,179.9,10.11
2409,友達,113,4,109,263.4,24.16
6153,嘉聯益,88,1,87,208.1,23.92
1608,華榮,87,0,87,308.4,35.45
6449,鈺邦,85,0,85,3601.3,423.68
00918,大華優利高填息30,83,4,79,253.6,32.1
,主動中信台灣收益,106,28,78,79.7,10.21
,主動統一全球創新,73,23,50,114.2,22.49
5258,虹堡,50,0,50,251.5,50.3
2317,鴻海,57,14,43,1153.8,268.88
2002,中鋼,38,3,35,66.6,18.76
00952,凱基台灣AI50,31,0,31,56.7,18.25
8042,金山電,36,10,26,512.6,195.02
3026,禾伸堂,27,4,23,1930.4,841.63
5483,中美晶,40,18,22,378.3,172.81
1709,和益,20,0,20,41.8,20.9
8076,伍豐,20,0,20,53.1,26.57
3706,神達,18,1,17,148.3,84.94
2501,國建,17,0,17,43.9,25.83
2609,陽明,33,17,16,81.0,50.63
6465,威潤,20,4,16,110.7,69.3
2520,冠德,15,0,15,51.4,34.28
8096,擎亞,21,6,15,219.1,146.03
,元大台灣50反1,14,0,14,14.2,10.18
2303,聯電,62,1003,-941,-13363.6,141.93
,主動台新優勢成長,0,800,-800,-1384.4,17.3
1809,中釉,1,367,-366,-1838.5,50.23
,主動第一金台股優,10,373,-363,-662.5,18.25
8046,南電,95,275,-180,-15813.8,874.25
3016,嘉晶,30,123,-93,-1221.0,131.29
,主動復華未來50,3,90,-87,-173.5,19.96
,主動群益科技創新,1,85,-84,-156.1,18.53
,主動統一升級50,29,102,-73,-78.0,10.73
2408,南亞科,53,121,-68,-2887.9,427.63
00878,國泰永續高股息,4,70,-66,-216.4,32.93
,主動富邦台灣龍耀,18,82,-64,-60.6,9.46
2852,第一保,0,61,-61,-170.1,27.88
,主動中信非投等債,0,58,-58,-60.0,10.35
5328,華容,0,55,-55,-271.1,49.29
3576,聯合再生,13,59,-46,-93.1,20.24
00947,台新臺灣IC設計,0,39,-39,-152.8,39.56
2891,中信金,0,38,-38,-268.2,70.59
4919,新唐,13,46,-33,-659.8,200.41
3481,群創,16,46,-30,-161.9,53.43
2331,精英,0,30,-30,-64.4,21.45
0056,元大高股息,9,38,-29,-151.9,51.66
2845,遠東銀,0,22,-22,-29.0,13.0
,元大台灣50正2,24,45,-21,-81.0,37.08
2344,華邦電,80,101,-21,-412.0,204.15
