code,name,net_shares,net_amount
,主動復華未來50,113,1476.0
,中信中國50正2,110,1171.0
009816,凱基台灣TOP50,67,729.0
0050,元大台灣50,67,5134.0
3665,貿聯-KY,64,113686.0
00881,國泰台灣科技龍頭,61,2274.0
2355,敬鵬,57,2652.0
,主動群益科技創新,56,777.0
2408,南亞科,49,11908.0
2344,華邦電,48,5683.0
00919,群益台灣精選高息,44,1005.0
4763,材料*-KY,44,2019.0
3481,群創,40,1148.0
,主動統一台股增長,39,841.0
00923,群益台ESG低碳50,35,1018.0
1605,華新,34,1091.0
1402,遠東新,31,827.0
1809,中釉,29,1013.0
,元大美債20年,29,784.0
2464,盟立,27,2073.0
1727,中華化,26,1450.0
,主動安聯台灣,23,250.0
6770,力積電,22,1637.0
5425,台半,21,1229.0
2374,佳能,21,1484.0
2887,台新新光金,-584,-14471.0
5452,佶優,-505,-19966.0
,元大台灣50反1,-96,-1346.0
8936,國統,-74,-4200.0
00944,野村趨勢動能高息,-60,-926.0
2405,輔信,-53,-840.0
1314,中石化,-51,-437.0
1444,力麗,-50,-322.0
,元大優息投等債,-50,-467.0
,期元大S&P石油,-44,-1124.0
3543,州巧,-44,-2306.0
,元大美債20正2,-40,-289.0
2542,興富發,-36,-1336.0
,國泰投資級公司債,-35,-1242.0
3073,天方能源,-34,-978.0
3363,上詮,-30,-22228.0
00692,富邦公司治理,-30,-2001.0
6179,亞通,-30,-830.0
2409,友達,-29,-448.0
2351,順德,-25,-2298.0
00712,復華富時不動產,-23,-200.0
,主動元大AI新經濟,-23,-289.0
2337,旺宏,-23,-3292.0
,國泰10Y+金融債,-22,-356.0
2441,超豐,-20,-1935.0
