code,name,net_shares,net_amount
0050,元大台灣50,109,8058.0
009816,凱基台灣TOP50,68,723.0
,主動兆豐台灣豐收,40,398.0
00961,FT臺灣永續高息,28,278.0
1314,中石化,27,220.0
,主動統一台股增長,27,561.0
,元大台灣50反1,24,344.0
9914,美利達,19,1260.0
0056,元大高股息,18,726.0
,主動復華未來50,18,226.0
2409,友達,17,247.0
009815,大華美國MAG7+,15,137.0
2002,中鋼,14,273.0
,主動統一全球創新,14,178.0
,主動群益科技創新,14,187.0
,群益ESG投等債20+,10,149.0
2387,精元,10,398.0
2393,億光,10,695.0
009813,貝萊德標普卓越50,10,99.0
3709,鑫聯大投控,10,653.0
,主動中信ARK創新,10,104.0
1718,中纖,10,75.0
2352,佳世達,10,237.0
1815,富喬,8,832.0
,中信高評級公司債,8,269.0
2897,王道銀行,-170,-1717.0
2890,永豐金,-50,-1578.0
2367,燿華,-37,-2683.0
1504,東元,-33,-2103.0
3481,群創,-30,-727.0
,元大美債1-3,-22,-690.0
6177,達麗,-19,-916.0
009804,聯邦台精彩50,-18,-299.0
00955,中信日本商社,-14,-221.0
1304,台聚,-13,-227.0
,元大美債20年,-13,-352.0
6285,啟碁,-10,-1907.0
6271,同欣電,-10,-1470.0
1326,台化,-10,-439.0
,國泰20年美債,-10,-281.0
,期街口布蘭特正2,-10,-544.0
2338,光罩,-10,-451.0
1312,國喬,-9,-133.0
3221,台嘉碩,-9,-327.0
3289,宜特,-9,-1224.0
2485,兆赫,-8,-647.0
1809,中釉,-7,-203.0
2344,華邦電,-6,-544.0
1309,台達化,-6,-134.0
9904,寶成,-6,-172.0
