code,name,weight,shares
C_NTD,CASH,7.86,253236956
C_USD,CASH,3.47,3550924
ACHR US,阿徹航空公司,1.23,181003
TXG US,10X Genomics Inc,2.33,126095
RXRX US,利可迅生技公司,0.41,121749
TEM US,Tempus AI Inc,6.44,115068
BEAM US,光束治療公司,2.67,96465
SOFI US,SoFi Technologies Inc,1.39,78155
HOOD US,羅賓漢市場公司,4.57,65150
ROKU US,Roku Inc,4.64,56302
CRSP US,CRISPR治療公司,2.86,54223
PACB US,加州太平洋生技科技公司,0.08,49677
PLTR US,帕蘭提爾科技公司,5.78,45310
SHOP US,Shopify公司,4.97,43449
CERS US,Cerus公司,0.09,40375
NTLA US,英特利亞治療公司,0.51,39350
BMNR US,BitMine Immersion Technologi,0.72,38552
TWST US,Twist Bioscience Corp,1.7,36271
KTOS US,克瑞拓斯安全防衛公司,3.02,32829
CRCL US,Circle Internet Group Inc,1.72,28849
XYZ US,布洛克公司,1.38,27844
VCYT US,Veracyte公司,0.85,24281
TER US,泰瑞達公司,6.83,21973
TSLA US,特斯拉公司,8.31,21323
SDGR US,美國施羅丁格公司,0.22,19944
PSTG US,PureStorage公司,1.14,17065
AMD US,超微半導體公司,3.01,15702
ILMN US,伊魯米納公司,1.82,15453
WGS US,GeneDx控股公司,1.15,13529
ABNB US,愛彼迎公司,1.5,12486
CRWV US,CoreWeave Inc,0.99,11187
NVDA US,輝達,2.03,10846
BWXT US,BWX科技股份有限公司,2.04,10526
AMZN US,亞馬遜公司,1.99,9936
NTRA US,那提拉公司,1.64,8000
TSM US,台積電,2.53,6994
BIDU US,百度股份有限公司,0.9,6891
BABA US,阿里巴巴,0.91,6114
GOOGL US,Alphabet公司 Class A,0.79,2595
META US,Meta平台公司,1.61,2592
AVGO US,博通公司,0.69,2139
DE US,迪爾,1.13,1791
MELI US,MercadoLibre Inc,1.53,839
RDI_USD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,0.0,-1419369
