code,name,weight,shares
1605,華新麗華,2.71,6240000
4904,遠傳電信,2.97,2636000
2891,中國信託金融控股,1.64,2590000
2412,中華電信,3.75,2351000
2881,富邦金融控股,2.27,2051100
3036,文曄科技,3.05,1432000
2330,台灣積體電路製造,19.8,855000
2395,研華,2.63,689000
2344,華邦電子,0.95,661000
2317,鴻海精密工業,1.59,581000
3711,日月光投資控股,2.05,456000
1216,統一企業,0.36,413000
3037,欣興電子,2.03,386000
6239,力成科技,1.07,354000
1477,聚陽實業,1.3,346000
3264,欣銓科技,0.64,344000
2327,國巨,1.19,335000
2382,廣達電腦,1.09,326000
2449,京元電子,0.9,235000
3105,穩懋半導體,0.79,226000
2313,華通電腦,0.52,194000
3293,鈊象電子,1.58,193000
4749,新應材,1.95,184000
6488,環球晶圓,0.96,183000
3533,嘉澤端子工業,2.74,142000
2454,聯發科技,3.01,140000
2308,台達電子工業,2.09,128000
2345,智邦科技,2.04,123000
2368,金像電子（股）公司,1.2,122000
2408,南亞科技,0.41,116000
6415,矽力杰,0.36,107000
6274,台燿科技,0.7,105000
8210,勤誠興業,1.06,103000
2360,致茂電子,1.36,94000
3017,奇鋐科技,1.46,80000
2383,台光電子材料,1.8,66000
1519,華城電機,0.72,64000
6442,光紅建聖,1.36,57000
3665,貿聯控股（BizLink Holding In,0.72,47148
6781,AES Holding Co Ltd,0.58,41000
6805,富世達,0.63,36000
6223,旺矽科技,1.09,35000
3653,健策精密工業,1.11,32000
3529,力旺電子,0.7,25000
6515,穎崴科技,1.24,22000
3661,世芯電子,0.85,21000
6669,緯穎科技服務,0.72,16000
7769,鴻勁精密,0.65,12000
5274,信驊科技,1.03,9000
2059,川湖科技,0.15,4000
