code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
1809,中釉,305,1,304,1720.0,56.69
2409,友達,356,93,263,641.7,24.43
2303,聯電,291,79,212,2585.2,121.37
,元大台灣50正2,113,16,97,338.2,34.98
,主動統一台股增長,248,152,96,301.5,31.45
,主動富邦台灣龍耀,61,0,61,57.1,9.36
6016,康和證,60,3,57,167.2,29.33
2344,華邦電,65,10,55,855.5,156.81
1312,國喬,54,0,54,77.3,14.31
3673,TPK-KY,50,0,50,425.4,85.08
6282,康舒,258,210,48,263.6,54.85
,元大台灣50反1,346,306,40,44.3,11.05
,元大投資級公司債,37,0,37,121.9,32.95
2337,旺宏,34,0,34,495.1,144.24
8150,南茂,60,29,31,275.9,88.99
,元大滬深300正2,30,0,30,61.6,20.54
4513,福裕,30,0,30,46.6,15.54
2483,百容,38,11,27,98.6,36.54
3231,緯創,33,7,26,440.5,166.25
2317,鴻海,41,15,26,705.0,268.88
009816,凱基台灣TOP50,31,7,24,36.9,15.02
2382,廣達,27,6,21,797.8,377.92
1314,中石化,21,0,21,16.4,7.81
8021,尖點,22,1,21,1011.9,498.05
9105,泰金寶-DR,54,35,19,17.2,8.9
2887,台新新光金,6,272,-266,-769.9,28.93
8046,南電,3,216,-213,-18839.7,881.2
,主動統一升級50,44,121,-77,-81.0,10.42
1721,三晃,1,70,-69,-173.1,25.08
2883,凱基金,14,75,-61,-175.1,28.5
,主動群益科技創新,3,58,-55,-100.5,18.19
2601,益航,0,50,-50,-29.5,5.9
2324,仁寶,19,61,-42,-159.3,38.01
2820,華票,0,35,-35,-60.7,17.34
2801,彰銀,0,34,-34,-74.3,21.84
,主動安聯美國科技,29,60,-31,-31.0,10.01
1210,大成,0,31,-31,-170.5,54.99
00940,元大台灣價值高息,0,30,-30,-37.0,12.33
1444,力麗,0,29,-29,-20.3,7.0
2886,兆豐金,0,28,-28,-121.9,43.2
3042,晶技,6,34,-28,-652.2,233.01
,主動復華未來50,0,27,-27,-53.0,19.46
3693,營邦,1,28,-27,-1438.9,539.12
6239,力成,4,29,-25,-791.9,308.94
0056,元大高股息,1,26,-25,-124.3,50.23
5328,華容,8,32,-24,-103.8,43.21
2867,三商壽,2,26,-24,-19.7,8.22
2890,永豐金,3,26,-23,-77.2,33.71
,主動野村臺灣高息,0,22,-22,-24.3,11.07
00878,國泰永續高股息,6,28,-22,-69.0,32.15
