code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
,主動統一台股增長,497,44,453,1293.6,28.56
3703,欣陸,250,0,250,510.0,20.4
2618,長榮航,204,5,199,868.5,43.72
,主動聯博全球非投,121,0,121,123.1,10.17
,主動凱基台灣,258,154,104,96.3,9.27
1314,中石化,105,2,103,81.8,7.94
00907,永豐優息存股,80,0,80,135.1,16.88
3481,群創,214,146,68,327.0,47.91
2357,華碩,73,13,60,4943.5,835.61
2356,英業達,75,21,54,358.7,66.43
,主動野村臺灣優選,50,0,50,117.7,23.58
8021,尖點,50,2,48,1938.5,403.01
2006,東和鋼鐵,44,0,44,344.8,78.37
2303,聯電,115,74,41,504.4,123.34
,元大台灣50反1,62,22,40,41.0,10.24
2412,中華電,36,0,36,491.4,136.5
009826,貝萊德世界股票,35,0,35,36.0,10.3
00712,復華富時不動產,33,0,33,29.5,8.85
1305,華夏,30,0,30,34.2,11.4
2332,友訊,30,3,27,62.7,23.2
8996,高力,26,1,25,2627.5,1051.0
00929,復華台灣科技優息,30,6,24,69.3,28.89
2454,聯發科,31,8,23,9501.5,4053.9
6488,環球晶,26,4,22,2061.9,933.91
6525,捷敏-KY,22,0,22,305.3,138.75
009824,群益美國科技巨頭,0,407,-407,-419.0,10.3
3231,緯創,36,425,-389,-7676.5,197.27
,元大台灣50正2,45,275,-230,-788.1,34.19
009816,凱基台灣TOP50,15,183,-168,-254.1,15.09
2883,凱基金,1,147,-146,-461.0,31.55
00891,中信關鍵半導體,23,152,-129,-454.0,35.27
006201,元大富櫃50,0,105,-105,-446.6,42.54
,主動復華未來50,12,111,-99,-167.7,17.0
,群益臺灣加權正2,3,101,-98,-109.9,11.22
2301,光寶科,29,123,-94,-2432.6,259.06
,主動統一升級50,22,101,-79,-78.5,9.88
,主動富邦台灣龍耀,19,90,-71,-58.2,8.22
2317,鴻海,28,99,-71,-1819.2,258.7
,元大美債20年,0,70,-70,-186.8,26.68
,主動野村臺灣高息,2,72,-70,-75.8,10.83
00830,國泰費城半導體,1,62,-61,-534.4,87.1
2344,華邦電,54,113,-59,-1017.6,171.57
4763,材料*-KY,2,60,-58,-282.0,48.71
1605,華新,2,56,-54,-189.5,35.1
00918,大華優利高填息30,0,53,-53,-178.6,33.7
1609,大亞,1,50,-49,-175.9,35.9
1409,新纖,9,55,-46,-105.6,22.95
00919,群益台灣精選高息,6,45,-39,-117.6,30.01
2313,華通,20,58,-38,-810.1,214.05
0056,元大高股息,6,42,-36,-184.6,51.86
