code,name,weight,shares,price
2330,台積電,58.12,570337837,2380.0
2887,台新新光金,0.84,547196246,35.9
2891,中信金,1.18,413394453,66.5
2883,凱基金,0.49,367906643,31.05
2884,玉山金,0.58,355367587,37.8
2890,永豐金,0.51,305922990,38.9
2317,鴻海,3.23,285101430,264.5
2886,兆豐金,0.6,276249794,51.0
2303,聯電,1.43,272161027,123.0
2892,第一金,0.39,261877795,34.95
2885,元大金,0.75,257642136,68.2
5880,合庫金,0.27,245398537,26.1
2882,國泰金,0.96,222774374,101.0
2880,華南金,0.4,214958693,44.0
2881,富邦金,1.07,194842252,128.5
1216,統一,0.37,115605705,75.5
1303,南亞,0.91,115017544,185.0
2412,中華電,0.52,89140080,136.5
3711,日月光投控,2.09,77414171,630.0
2344,華邦電,0.56,72220886,179.5
3231,緯創,0.58,70528470,193.0
2382,廣達,0.83,61740746,313.5
2301,光寶科,0.53,45680915,271.5
2308,台達電,3.5,45080600,1815.0
4904,遠傳,0.18,41476552,101.5
2327,國巨*,0.9,36735336,573.0
2454,聯發科,5.82,34335709,3960.0
3045,台灣大,0.16,33116499,110.5
3037,欣興,1.31,30779249,992.0
6505,台塑化,0.08,27016515,69.0
2449,京元電子,0.28,26669621,248.5
2408,南亞科,0.57,26648180,502.0
2603,長榮,0.23,25536884,214.0
4958,臻鼎-KY,0.36,17799662,470.5
2357,華碩,0.55,15763673,818.0
2345,智邦,1.07,11563014,2165.0
2395,研華,0.31,10786740,667.0
2360,致茂,0.75,8603956,2030.0
2368,金像電,0.32,8023862,926.0
3017,奇鋐,0.88,7469608,2765.0
2383,台光電,1.53,6776887,5290.0
8046,南電,0.24,5003102,1130.0
3665,貿聯-KY,0.39,4176326,2190.0
6669,緯穎,0.62,2426332,6010.0
3008,大立光,0.41,2195848,4400.0
3653,健策,0.36,2032785,4135.0
3443,創意,0.36,1873362,4530.0
3661,世芯-KY,0.3,1846788,3800.0
7769,鴻勁,0.36,1331528,6280.0
2059,川湖,0.66,1287380,11905.0
202608TX,臺股期貨,0.25,648,0.0
202608NYF,台灣50ETF股票期貨,0.03,618,0.0
