code,name,weight,shares,price
2330,台積電,58.03,526131628,2505.0
2887,台新新光金,0.73,498945552,33.35
2891,中信金,1.19,382450955,70.6
2883,凱基金,0.42,338648680,28.3
2884,玉山金,0.47,326896755,32.9
2890,永豐金,0.49,276139245,40.0
2317,鴻海,2.87,262883846,248.0
2886,兆豐金,0.52,254177408,46.15
2303,聯電,1.87,251633300,169.0
2892,第一金,0.35,240843568,33.2
2885,元大金,0.69,237397217,66.0
5880,合庫金,0.25,225107354,24.85
2882,國泰金,0.86,205074342,95.0
2880,華南金,0.32,197682676,36.7
2881,富邦金,0.97,179344409,122.5
1303,南亞,0.86,106463926,183.0
1216,統一,0.35,106255434,74.5
2412,中華電,0.51,82043431,141.5
3711,日月光投控,2.21,71502598,703.0
2344,華邦電,0.56,66522907,190.0
3231,緯創,0.46,64932419,159.5
2382,廣達,0.93,56838983,372.0
2301,光寶科,0.41,42057920,219.5
2308,台達電,3.65,41607494,1990.0
4904,遠傳,0.17,38147699,103.5
2327,國巨*,1.7,33961269,1140.0
2454,聯發科,6.07,31803499,4335.0
3045,台灣大,0.16,30388720,118.0
3037,欣興,1.3,28368850,1040.0
6505,台塑化,0.06,24672878,53.6
2408,南亞科,0.45,24529711,421.0
2449,京元電子,0.34,23381645,331.0
2603,長榮,0.19,23360743,185.5
4958,臻鼎-KY,0.44,16396553,603.0
2357,華碩,0.42,14513402,657.0
2345,智邦,1.26,10725325,2660.0
2395,研華,0.22,9914336,503.0
2360,致茂,0.79,7926409,2270.0
2368,金像電,0.4,7391204,1220.0
3017,奇鋐,0.79,6881844,2620.0
2383,台光電,1.53,6269345,5535.0
8046,南電,0.24,4606248,1175.0
3665,貿聯-KY,0.34,3844197,2010.0
6669,緯穎,0.5,2234870,5035.0
3008,大立光,0.38,2018651,4330.0
3653,健策,0.28,1873400,3400.0
3443,創意,0.38,1727218,5045.0
3661,世芯-KY,0.33,1696215,4450.0
7769,鴻勁,0.38,1226391,6960.0
2059,川湖,0.4,1185696,7655.0
202607NYF,台灣50ETF股票期貨,0.09,1888,0.0
202607TX,臺股期貨,0.52,1258,0.0
