code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
3481,群創,489,37,452,2090.6,46.27
3406,玉晶光,251,1,250,17796.3,711.85
00919,群益台灣精選高息,266,28,238,717.8,30.05
,主動統一升級50,224,96,128,127.1,9.88
,主動富邦台灣龍耀,119,7,112,100.2,8.91
0050,元大台灣50,173,70,103,1027.0,99.77
009816,凱基台灣TOP50,121,29,92,133.8,14.42
0056,元大高股息,87,0,87,429.2,49.11
,主動統一台股增長,67,16,51,151.4,29.23
00929,復華台灣科技優息,53,2,51,142.9,27.96
4166,友霖,50,3,47,119.6,25.45
,主動聯博動能50,44,0,44,41.8,9.51
00918,大華優利高填息30,41,6,35,106.0,30.15
3231,緯創,33,2,31,474.1,152.69
2501,國建,31,1,30,78.1,26.02
3014,聯陽,28,0,28,390.6,139.5
,主動中信台灣收益,26,0,26,24.8,9.55
2317,鴻海,44,19,25,645.6,256.46
3071,協禧,25,0,25,79.9,31.94
6770,力積電,24,1,23,145.6,63.32
2903,遠百,21,0,21,48.4,23.04
009819,中信數據及電力,23,2,21,21.0,10.0
9940,信義,20,0,20,38.7,19.33
3419,譁裕,17,0,17,23.8,14.0
2301,光寶科,19,3,16,336.1,205.34
3576,聯合再生,3,804,-801,-1407.5,17.57
,群益ESG投等債20+,0,408,-408,-606.8,14.87
,主動群益美國增長,2,180,-178,-222.6,12.51
9105,泰金寶-DR,13,140,-127,-115.4,9.12
8021,尖點,5,124,-119,-6723.5,564.33
,國泰投資級公司債,0,110,-110,-386.8,35.16
6180,橘子,0,100,-100,-485.1,48.51
,國泰10Y+金融債,0,100,-100,-160.0,16.0
,元大台灣50反1,358,421,-63,-63.7,10.16
3260,威剛,0,58,-58,-2211.6,383.3
3362,先進光,4,60,-56,-930.0,166.06
2382,廣達,2,31,-29,-1102.0,378.38
2483,百容,6,30,-24,-82.4,34.32
00643,群益深証中小,0,20,-20,-38.4,19.18
6026,福邦證,0,20,-20,-32.5,16.25
9907,統一實,0,20,-20,-33.1,16.55
6190,萬泰科,1,21,-20,-158.6,79.3
2890,永豐金,0,20,-20,-65.7,32.85
,主動野村臺灣高息,0,20,-20,-21.8,10.93
2376,技嘉,1,16,-15,-529.9,344.06
2108,南帝,0,15,-15,-44.4,29.57
8150,南茂,428,442,-14,-129.6,95.63
00878,國泰永續高股息,4,18,-14,-42.5,31.71
2882,國泰金,0,13,-13,-129.7,99.21
2485,兆赫,2,15,-13,-84.7,65.12
