code,name,weight,shares
1605,華新麗華,2.63,6240000
4904,遠傳電信,2.87,2717000
2412,中華電信,3.68,2392000
2881,富邦金融控股,2.22,2051100
2891,中國信託金融控股,1.32,2051000
3036,文曄科技,3.18,1505000
2395,研華,3.43,887000
2330,台灣積體電路製造,19.63,857000
2317,鴻海精密工業,1.99,713000
2344,華邦電子,0.93,661000
3711,日月光投資控股,2.03,456000
1216,統一企業,0.34,413000
3037,欣興電子,2.23,404000
6239,力成科技,1.05,354000
1477,聚陽實業,1.27,346000
3264,欣銓科技,0.62,344000
2327,國巨,1.15,335000
2382,廣達電腦,1.0,298000
4749,新應材,2.48,237000
2449,京元電子,0.88,235000
3105,穩懋半導體,0.88,226000
3533,嘉澤端子工業,4.46,219000
6488,環球晶圓,0.96,183000
3293,鈊象電子,1.29,162000
2308,台達電子工業,2.13,130000
2454,聯發科技,2.66,119000
2360,致茂電子,1.87,118000
2408,南亞科技,0.38,116000
2345,智邦科技,1.74,108000
6415,矽力杰,0.35,107000
2368,金像電子（股）公司,1.01,106000
3017,奇鋐科技,1.62,80000
8210,勤誠興業,0.8,76000
2383,台光電子材料,1.62,58000
6442,光紅建聖,1.4,57000
6789,采鈺科技,0.21,54000
1519,華城電機,0.58,47000
6274,台燿科技,0.29,47000
6781,AES Holding Co Ltd,0.57,41000
3661,世芯電子,1.56,39000
6805,富世達,0.71,36000
6223,旺矽科技,1.18,35000
3653,健策精密工業,1.15,32000
3665,貿聯控股（BizLink Holding In,0.5,31000
3529,力旺電子,0.73,25000
6515,穎崴科技,1.29,22000
6669,緯穎科技服務,0.73,16000
7769,鴻勁精密,0.67,12000
5274,信驊科技,0.45,4000
2059,川湖科技,0.16,4000
