code,name,weight,shares,price
1802,台灣玻璃工業,1.74,2696000,66.0
1216,統一企業,1.52,2081000,74.6
2412,中華電信,2.49,1778000,143.0
2891,中國信託金融控股,0.84,1217000,70.3
2330,台灣積體電路製造,25.1,1096000,2340.0
2881,富邦金融控股,1.35,1027000,134.0
3036,文曄科技,1.9,903000,215.5
2376,技嘉科技,2.26,723000,319.5
4904,遠傳電信,0.75,713000,107.0
2303,聯華電子,1.1,687000,164.0
2049,上銀科技,1.8,600000,307.0
4958,臻鼎科技控股,2.34,413000,580.0
2395,研華,1.81,407000,455.5
6147,頎邦科技,0.69,326000,216.5
3105,穩懋半導體,1.11,267000,424.0
2344,華邦電子,0.52,259000,206.5
3711,日月光投資控股,1.56,253000,632.0
3293,鈊象電子,1.79,245000,745.0
8046,南亞電路板,2.41,219000,1125.0
2368,金像電子（股）公司,1.85,159000,1190.0
6415,矽力杰,0.81,144000,572.0
2360,致茂電子,2.27,114000,2035.0
3081,聯亞光電工業,2.23,112000,2035.0
8996,高力熱處理工業,1.31,98000,1370.0
2408,南亞科技,0.42,95000,449.0
6488,環球晶圓,0.82,90000,936.0
3131,弘塑科技,2.72,84000,3310.0
3017,奇鋐科技,1.83,83000,2255.0
2308,台達電子工業,1.45,82000,1810.0
2317,鴻海精密工業,0.19,78000,248.5
6442,光紅建聖,1.28,78000,1680.0
3653,健策精密工業,2.27,68000,3405.0
2345,智邦科技,1.54,66000,2380.0
3661,世芯電子,2.31,61000,3870.0
3529,力旺電子,1.4,49000,2925.0
2454,聯發科技,1.75,46000,3880.0
8299,群聯電子,0.99,44000,2310.0
6187,萬潤科技,0.43,41000,1075.0
2383,台光電子材料,2.11,41000,5255.0
6223,旺矽科技,2.54,40000,6500.0
2059,川湖科技,2.53,37000,6990.0
6669,緯穎科技服務,1.38,33000,4280.0
3008,大立光電,1.43,31000,4720.0
7769,鴻勁精密,1.78,28000,6500.0
6805,富世達,0.29,18000,1640.0
3665,貿聯控股（BizLink Holding In,0.31,17000,1855.0
6239,力成科技,0.05,16000,314.0
3533,嘉澤端子工業,0.27,13000,2105.0
3037,欣興電子,0.06,6000,975.0
3189,景碩科技,0.02,2000,797.0
