code,name,net_shares,net_amount
,主動群益科技創新,643,8897.0
3049,精金,141,1666.0
00919,群益台灣精選高息,98,2243.0
3481,群創,78,1963.0
1802,台玻,77,4315.0
00878,國泰永續高股息,61,1375.0
00915,凱基優選高股息30,58,1338.0
3162,精確,55,3065.0
2367,燿華,44,3471.0
6277,宏正,40,2616.0
1102,亞泥,40,1381.0
6443,元晶,31,1486.0
1310,台苯,30,338.0
00927,群益半導體收益,30,742.0
2317,鴻海,28,5499.0
7777,能率亞洲,25,665.0
2408,南亞科,23,5258.0
5291,邑昇,22,1661.0
6548,長科*,21,1043.0
2301,光寶科,20,3095.0
4105,東洋,20,1517.0
8028,昇陽半導體,20,3809.0
2834,臺企銀,18,272.0
2481,強茂,16,1684.0
3706,神達,16,1278.0
4906,正文,-221,-8089.0
2344,華邦電,-160,-16026.0
4720,德淵,-150,-2801.0
1314,中石化,-97,-802.0
3062,建漢,-63,-1680.0
6770,力積電,-59,-3575.0
,主動復華未來50,-52,-679.0
2313,華通,-51,-12751.0
,主動群益台灣強棒,-50,-856.0
6147,頎邦,-43,-3330.0
,國泰20年美債,-40,-1130.0
3704,合勤控,-40,-1333.0
00930,永豐ESG低碳高息,-40,-695.0
1305,華夏,-39,-694.0
2836,高雄銀,-33,-401.0
5880,合庫金,-30,-720.0
3031,佰鴻,-30,-705.0
6208,日揚,-30,-1460.0
6205,詮欣,-28,-1593.0
1717,長興,-24,-1509.0
2349,錸德,-24,-349.0
2374,佳能,-23,-1661.0
2884,玉山金,-22,-709.0
2616,山隆,-21,-356.0
8046,南電,-20,-11720.0
