code,name,net_shares,net_amount
6770,力積電,73,4784.0
2344,華邦電,58,5750.0
6596,寬宏藝術,52,6241.0
2103,台橡,50,998.0
3434,哲固,40,1140.0
1815,富喬,34,3899.0
2610,華航,30,563.0
3380,明泰,25,924.0
1802,台玻,24,1365.0
,主動復華未來50,20,259.0
2371,大同,16,499.0
3706,神達,15,1193.0
3591,艾笛森,14,302.0
6282,康舒,13,680.0
2337,旺宏,12,1648.0
009805,新光美國電力基建,12,183.0
2883,凱基金,11,225.0
6919,康霈*,11,961.0
4979,華星光,10,4504.0
5291,邑昇,10,777.0
3339,泰谷,10,396.0
3149,正達,9,433.0
2481,強茂,9,915.0
,期街口布蘭特正2,9,459.0
,元大台灣50反1,8,117.0
,主動統一台股增長,-57,-1209.0
4534,慶騰,-50,-1275.0
2402,毅嘉,-45,-2313.0
2367,燿華,-39,-3035.0
,群益ESG投等債20+,-38,-564.0
00878,國泰永續高股息,-35,-795.0
009816,凱基台灣TOP50,-30,-327.0
2313,華通,-29,-7451.0
2605,新興,-27,-1155.0
00712,復華富時不動產,-25,-216.0
2399,映泰,-25,-730.0
4720,德淵,-25,-458.0
8937,合騏,-24,-3631.0
4927,泰鼎-KY,-20,-856.0
3576,聯合再生,-15,-383.0
2201,裕隆,-15,-431.0
00896,中信綠能及電動車,-15,-320.0
0056,元大高股息,-13,-484.0
2369,菱生,-12,-415.0
,期元大S&P石油,-11,-274.0
00929,復華台灣科技優息,-11,-217.0
4960,誠美材,-11,-289.0
2355,敬鵬,-11,-562.0
8431,匯鑽科,-10,-643.0
6505,台塑化,-10,-561.0
