code,name,weight,shares,price
2887,台新新光金,3.05,139113350,42.4
2883,凱基金,1.83,96221000,36.75
2884,玉山金,2.07,90279000,44.25
2890,永豐金,1.8,80728100,43.2
2885,元大金,2.69,74652320,69.7
2886,兆豐金,1.73,66296000,50.3
5880,合庫金,0.92,65968175,26.85
2892,第一金,1.29,65873000,37.8
2880,華南金,1.38,60078880,44.35
2891,中信金,1.15,33381000,66.6
2330,台積電,40.76,31956000,2465.0
2412,中華電,2.07,28615000,139.5
2317,鴻海,2.78,21342000,252.0
2303,聯電,1.49,20300000,141.5
2881,富邦金,1.33,17450000,147.0
2882,國泰金,0.97,16966000,110.5
3481,群創,0.37,14212000,50.1
1303,南亞,1.2,9806000,236.5
1216,統一,0.32,8200000,76.0
3711,日月光投控,1.88,5662000,640.0
2344,華邦電,0.51,5420000,183.0
3231,緯創,0.51,5253000,189.0
2382,廣達,0.84,4720000,342.0
4904,遠傳,0.23,4200000,104.0
3045,台灣大,0.25,3970000,119.5
6505,台塑化,0.18,3934000,87.5
2408,南亞科,1.01,3740000,523.0
2603,長榮,0.44,3654000,234.0
2301,光寶科,0.55,3626000,292.5
2308,台達電,3.34,3600000,1795.0
2327,國巨*,0.96,3289000,565.0
2454,聯發科,6.22,2600000,4625.0
3037,欣興,1.31,2550000,993.0
4958,臻鼎-KY,0.36,1400000,502.0
2357,華碩,0.61,1201000,979.0
2395,研華,0.3,880000,653.0
2345,智邦,0.92,880000,2015.0
2360,致茂,0.85,700000,2335.0
6446,藥華藥,0.45,640000,1345.0
2368,金像電,0.34,603000,1100.0
6669,緯穎,0.72,602524,2325.0
3017,奇鋐,1.05,598000,3380.0
2383,台光電,1.59,570000,5375.0
8046,南電,0.25,440000,1110.0
3665,貿聯-KY,0.35,340000,1975.0
3653,健策,0.55,184000,5760.0
7769,鴻勁,0.63,180000,6720.0
3008,大立光,0.56,157000,6870.0
3443,創意電子,0.48,155000,5925.0
2059,川湖,0.8,124000,12400.0
202609TX,臺股期貨,1.81,370,0.0
