code,name,weight,shares,price
3264,欣銓,3.96,8430000,225.5
2303,聯電,1.59,8040000,91.3
6257,矽格,3.1,7010000,211.0
6147,頎邦,2.41,5888000,196.5
1785,光洋科,1.69,5096000,159.0
3105,穩懋,4.51,4118000,526.0
2347,聯強,0.74,4109000,82.2
5536,聖暉*,6.54,3502000,896.0
6285,啟碁,1.79,3320000,247.5
2472,立隆電,1.46,3115000,221.5
4958,臻鼎-KY,2.38,2770000,401.0
6139,亞翔,3.58,2533000,714.0
6177,達麗,0.18,1862350,46.8
2330,台積電,8.05,1728000,2290.0
4938,和碩,0.23,1345000,84.4
2467,志聖,1.63,1329000,537.0
6488,環球晶,2.15,1235000,835.0
3030,德律,0.99,1197000,389.5
2885,元大金,0.14,1150420,56.5
2313,華通,0.58,1148000,253.5
3583,辛耘,1.61,890000,788.0
3211,順達,0.71,849000,403.0
3491,昇達科,3.2,843000,1820.0
2360,致茂,3.93,799000,2230.0
2345,智邦,4.3,797000,2375.0
2308,台達電,3.58,766000,2200.0
2454,聯發科,4.63,573000,3630.0
6669,緯穎,5.71,513000,5200.0
2383,台光電,5.16,510000,4750.0
8996,高力,0.86,389000,1015.0
3711,日月光投控,0.43,388000,516.0
2404,漢唐,0.82,384000,1015.0
3376,新日興,0.16,371000,202.5
1319,東陽,0.06,355000,80.2
3017,奇鋐,1.79,337000,2445.0
6805,富世達,1.35,325000,1980.0
6274,台燿,0.91,301000,1455.0
5289,宜鼎,1.06,290000,1760.0
6223,旺矽,2.99,288000,4985.0
2059,川湖,2.83,246000,5320.0
3533,嘉澤,1.18,199000,2700.0
2368,金像電,0.5,173000,1330.0
8464,億豐,0.1,148000,343.0
6510,精測,1.0,126000,3790.0
8046,南電,0.2,107000,854.0
3131,弘塑,0.61,95000,3090.0
3665,貿聯-KY,0.39,64136,2750.0
4441,振大環球,0.03,62000,195.0
2548,華固,0.01,30600,123.5
5274,信驊,0.22,6000,17825.0
3706,神達,0.0,1400,86.2
8358,金居,0.0,1000,462.0
2886,兆豐金,0.0,1000,40.2
3443,創意,0.01,1000,5210.0
1519,華城,0.0,600,896.0
2881,富邦金,0.0,250,96.7
