code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
,主動統一全球創新,230,1,229,435.7,19.02
00919,群益台灣精選高息,152,0,152,452.7,29.75
00961,FT臺灣永續高息,125,0,125,158.8,12.7
5871,中租-KY,101,0,101,1181.9,117.0
3481,群創,125,43,82,482.3,58.15
3260,威剛,81,0,81,3361.1,413.83
,元大台灣50反1,78,0,78,79.8,10.23
2337,旺宏,139,62,77,1126.0,146.02
00887,永豐中國科技50大,45,0,45,85.8,19.07
2330,台積電,44,4,40,9691.7,2444.25
2382,廣達,44,5,39,1481.7,380.89
,主動統一升級50,123,85,38,38.6,10.15
6239,力成,69,37,32,999.3,310.74
,群益臺灣加權正2,56,27,29,34.7,11.98
6182,合晶,37,9,28,506.5,180.06
009804,聯邦台精彩50,28,0,28,65.8,23.49
6719,力智,26,0,26,633.7,243.71
2887,台新新光金,28,4,24,86.8,36.17
6538,倉和,22,0,22,336.0,152.73
4513,福裕,20,0,20,44.4,22.2
,主動野村臺灣高息,20,0,20,21.2,10.58
,主動群益科技創新,20,0,20,34.8,17.39
4958,臻鼎-KY,31,14,17,1101.0,625.17
3231,緯創,20,3,17,243.8,143.32
2501,國建,17,0,17,37.4,21.98
,富邦臺灣加權反1,5,140,-135,-75.9,5.63
,群益優選非投等債,0,98,-98,-95.4,9.73
2409,友達,8,76,-68,-191.1,28.18
2867,三商壽,0,50,-50,-44.4,8.88
2408,南亞科,62,110,-48,-2327.6,479.55
5483,中美晶,5,52,-47,-1232.6,262.24
1409,新纖,8,55,-47,-120.6,25.77
009819,中信數據及電力,0,42,-42,-42.7,10.16
009816,凱基台灣TOP50,9,49,-40,-60.6,15.28
2303,聯電,33,67,-34,-562.8,163.83
,主動統一台股增長,41,75,-34,-99.1,29.05
8150,南茂,12,45,-33,-366.2,110.64
2344,華邦電,1,32,-31,-576.1,180.34
2009,第一銅,0,30,-30,-114.9,38.31
6770,力積電,14,40,-26,-202.5,75.8
2313,華通,4,25,-21,-522.8,244.29
1313,聯成,0,20,-20,-24.4,12.2
2634,漢翔,26,43,-17,-110.2,64.81
2317,鴻海,1,18,-17,-389.5,237.65
1312,國喬,0,16,-16,-20.9,13.05
8033,雷虎,0,15,-15,-402.6,265.22
,群益ESG投等債20+,5,20,-15,-22.2,14.79
2002,中鋼,0,14,-14,-26.2,18.6
2103,台橡,0,12,-12,-30.0,24.98
3706,神達,0,11,-11,-100.1,90.97
