code,name,net_shares,net_amount
,主動群益科技創新,678,8798.0
,主動兆豐台灣豐收,165,1578.0
009816,凱基台灣TOP50,139,1423.0
,元大台灣50正2,137,2684.0
,主動統一台股增長,131,2586.0
0056,元大高股息,130,4871.0
1102,亞泥,80,2763.0
00919,群益台灣精選高息,73,1634.0
1309,台達化,57,1352.0
2409,友達,57,820.0
,群益ESG投等債20+,51,756.0
6443,元晶,50,2092.0
6770,力積電,45,2422.0
00878,國泰永續高股息,44,970.0
1909,榮成,44,482.0
,主動第一金台股優,42,505.0
2489,瑞軒,40,1249.0
,主動群益台灣強棒,38,616.0
2609,陽明,37,1933.0
0050,元大台灣50,36,2592.0
1229,聯華,35,1579.0
2324,仁寶,34,924.0
1305,華夏,34,645.0
00918,大華優利高填息30,33,715.0
5340,建榮,32,3285.0
,國泰臺灣加權反1,-910,-2166.0
1326,台化,-136,-6824.0
,主動元大AI新經濟,-108,-1245.0
,主動安聯台灣,-91,-935.0
4906,正文,-65,-2337.0
2344,華邦電,-59,-5296.0
,元大美債20年,-49,-1346.0
9958,世紀鋼,-49,-5535.0
5243,乙盛-KY,-43,-3567.0
1905,華紙,-36,-667.0
1310,台苯,-33,-378.0
6854,錼創科技-KY創,-33,-4529.0
3006,晶豪科,-31,-4797.0
1714,和桐,-30,-299.0
2352,佳世達,-30,-686.0
4967,十銓,-28,-5675.0
8028,昇陽半導體,-28,-5100.0
00940,元大台灣價值高息,-28,-257.0
1723,中碳,-27,-2433.0
5244,弘凱,-26,-1042.0
9136,巨騰-DR,-25,-214.0
6548,長科*,-25,-1179.0
5284,jpp-KY,-25,-6643.0
2338,光罩,-23,-994.0
5880,合庫金,-21,-493.0
