code,name,net_shares,net_amount
,國泰臺灣加權反1,438,999.0
2605,新興,187,8108.0
2489,瑞軒,138,4524.0
,主動統一台股增長,135,2813.0
2344,華邦電,98,10360.0
6770,力積電,57,3506.0
2351,順德,55,5621.0
4949,有成精密,43,2689.0
1312,國喬,32,423.0
1314,中石化,32,261.0
1308,亞聚,25,422.0
3005,神基,25,2961.0
5425,台半,23,1429.0
3221,台嘉碩,23,836.0
6244,茂迪,22,640.0
2231,為升,21,2266.0
0061,元大寶滬深,21,484.0
4903,聯光通,21,1040.0
2834,臺企銀,20,307.0
1904,正隆,20,374.0
3078,僑威,20,1158.0
2010,春源,20,516.0
,富邦恒生國企正2,20,190.0
6148,驊宏資,19,688.0
0056,元大高股息,19,726.0
2014,中鴻,-310,-5788.0
,元大美債20正2,-200,-1416.0
2002,中鋼,-152,-2946.0
009816,凱基台灣TOP50,-116,-1254.0
1815,富喬,-112,-12059.0
8064,東捷,-112,-7766.0
1802,台玻,-96,-5235.0
2367,燿華,-63,-4725.0
2615,萬海,-55,-4126.0
00881,國泰台灣科技龍頭,-54,-2016.0
00887,永豐中國科技50大,-50,-624.0
3481,群創,-45,-1070.0
2027,大成鋼,-39,-1437.0
0050,元大台灣50,-36,-2769.0
00929,復華台灣科技優息,-36,-707.0
6613,朋億*,-34,-7479.0
2313,華通,-32,-7407.0
2618,長榮航,-30,-1076.0
00878,國泰永續高股息,-25,-558.0
4736,泰博,-24,-2952.0
,主動元大AI新經濟,-23,-288.0
,主動群益台灣強棒,-22,-384.0
6405,悅城,-22,-672.0
2603,長榮,-20,-4256.0
,大華投等美債15Y+,-20,-188.0
