code,name,weight,shares,price
2313,華通,1.42,1490000,230.0
NOK US,NOKIA CORP-SPON ADR,1.05,945396,0.0
2449,京元電子,1.0,746000,323.0
2308,台達電,3.82,628000,1465.0
2330,台積電,3.93,497000,1905.0
3037,欣興,1.14,475000,580.0
5016 JP,JX ADVANCED METALS CORP,1.46,441300,0.0
268A JP,RIGAKU HOLDINGS CORP,0.67,422200,0.0
AIXA GR,AIXTRON SE,2.16,418565,0.0
5985 JP,SUNCALL CORP,0.49,281000,0.0
6590 JP,SHIBAURA MECHATRONICS CORP,1.0,249500,0.0
6274,台燿,0.47,214000,584.0
2368,金像電,0.72,190000,917.0
INTC US,INTEL CORP,1.07,179000,0.0
4971 JP,MEC CO LTD,0.94,160000,0.0
6941 JP,YAMAICHI ELECTRONICS CO LTD,1.12,145200,0.0
005930 KP,SAMSUNG ELECTRONICS CO LTD,2.66,143231,0.0
SOI FP,S.O.I.T.E.C.,1.37,142945,0.0
2360,致茂,0.91,140000,1565.0
AEHR US,AEHR TEST SYSTEMS,0.66,138085,0.0
2383,台光電,1.55,138000,2700.0
PL US,PLANET LABS PBC,0.45,136600,0.0
3017,奇鋐,1.0,130000,1850.0
MU US,MICRON TECHNOLOGY INC,7.06,115471,0.0
5802 JP,SUMITOMO ELECTRIC INDUSTRIES,0.93,111200,0.0
3653,健策,1.82,110000,3980.0
6855 JP,JAPAN ELECTRONIC MATERIALS,0.61,106000,0.0
NVDA US,NVIDIA CORP,2.5,104750,0.0
TSEM US,TOWER SEMICONDUCTOR LTD,1.94,103049,0.0
4062 JP,IBIDEN CO LTD,0.68,96900,0.0
TER US,TERADYNE INC,3.68,92600,0.0
CRCL US,CIRCLE INTERNET GROUP INC,1.6,90812,0.0
2345,智邦,0.6,90000,1600.0
5706 JP,MITSUI KINZOKU CO LTD,2.21,81700,0.0
ENR GR,SIEMENS ENERGY AG,1.82,78915,0.0
LITE US,LUMENTUM HOLDINGS INC,7.3,78752,0.0
5801 JP,FURUKAWA ELECTRIC CO LTD,1.76,73600,0.0
6787 JP,MEIKO ELECTRONICS CO LTD,1.62,73200,0.0
BE US,BLOOM ENERGY CORP- A,1.47,71100,0.0
SNDK US,SANDISK CORP,6.57,65833,0.0
GLW US,CORNING INC,1.1,64295,0.0
GOOGL US,ALPHABET INC-CL A,2.51,61600,0.0
CIEN US,CIENA CORP,2.67,52342,0.0
SMHN GR,SUSS MICROTEC SE,0.47,51632,0.0
6227 JP,AIMECHATEC LTD,0.82,50500,0.0
RKLB US,ROCKET LAB CORP,0.45,48686,0.0
6834 JP,SEIKOH GIKEN CO LTD,1.01,44600,0.0
KEYS US,KEYSIGHT TECHNOLOGIES IN,1.58,41900,0.0
WDC US,WESTERN DIGITAL CORP,1.67,41462,0.0
AMAT US,APPLIED MATERIALS INC,1.9,41100,0.0
COHR US,COHERENT CORP,1.31,38397,0.0
5803 JP,FUJIKURA LTD,0.81,37900,0.0
3110 JP,NITTO BOSEKI CO LTD,0.57,30800,0.0
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,0.81,19591,0.0
GEV US,GE VERNOVA INC,2.04,18000,0.0
ASML US,ASML HOLDING NV-NY REG SHS,0.95,5320,0.0
