code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
00961,FT臺灣永續高息,336,1,335,449.6,13.41
6015,宏遠證,216,0,216,357.5,16.55
8112,至上,149,1,148,1422.5,96.2
,主動聯博全球非投,145,0,145,146.7,10.12
00929,復華台灣科技優息,150,6,144,427.5,29.61
,主動富邦複合收益,100,0,100,100.7,10.07
2634,漢翔,155,60,95,622.9,65.57
00881,國泰台灣科技龍頭,103,8,95,521.6,55.09
3033,威健,84,6,78,375.3,48.11
2618,長榮航,139,65,74,294.2,39.39
3702,大聯大,68,0,68,795.3,115.76
6182,合晶,122,62,60,696.8,115.98
,期元大S&P黃金,48,0,48,213.3,44.78
9904,寶成,53,9,44,107.7,24.76
00878,國泰永續高股息,88,50,38,128.9,33.86
1717,長興,66,29,37,288.7,76.21
2327,國巨*,77,45,32,2040.1,648.04
2484,希華,33,2,31,233.7,75.4
,國泰10Y+金融債,30,0,30,47.6,15.87
4155,訊映,30,0,30,44.4,14.79
2834,臺企銀,30,1,29,47.4,16.29
1711,永光,29,2,27,105.5,39.07
3231,緯創,106,80,26,481.4,182.1
2332,友訊,70,44,26,58.5,22.5
8110,華東,40,15,25,116.6,46.62
009824,群益美國科技巨頭,28,451,-423,-434.0,10.26
1303,南亞,120,490,-370,-7430.4,200.57
,主動統一升級50,14,379,-365,-380.0,10.39
3481,群創,136,324,-188,-952.7,50.68
2324,仁寶,25,189,-164,-709.9,43.16
,群益臺灣加權正2,102,238,-136,-160.9,11.89
2886,兆豐金,22,151,-129,-593.7,46.19
2915,潤泰全,2,130,-128,-761.7,59.51
009821,野村稀土關鍵資源,4,130,-126,-186.0,14.76
,元大台灣50反1,125,245,-120,-119.7,9.97
,主動富邦台灣龍耀,29,138,-109,-95.7,8.7
,主動凱基台灣,98,195,-97,-97.5,10.06
,主動統一台股增長,41,128,-87,-265.6,30.27
3006,晶豪科,2,83,-81,-2254.7,280.09
2385,群光,1,75,-74,-792.0,107.02
2337,旺宏,342,414,-72,-1044.2,146.97
,元大美債1-3,0,70,-70,-219.5,31.35
2883,凱基金,2,71,-69,-219.9,31.68
,元大美債20正2,0,66,-66,-42.6,6.46
6770,力積電,520,584,-64,-519.8,81.73
009816,凱基台灣TOP50,90,146,-56,-87.5,15.56
00965,元大航太防衛科技,0,56,-56,-153.0,27.32
2885,元大金,0,55,-55,-386.3,70.24
,期元大S&P原油反1,0,51,-51,-66.1,12.96
4927,泰鼎-KY,0,50,-50,-166.3,33.26
