code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
2845,遠東銀,3000,12,2988,3587.5,12.01
,主動國泰動能高息,605,201,404,602.2,14.89
6770,力積電,872,618,254,2273.5,89.28
3042,晶技,240,16,224,4830.9,216.35
1303,南亞,234,45,189,2035.0,107.72
3011,今皓,153,0,153,221.4,14.47
,主動野村臺灣高息,130,3,127,141.6,11.15
2491,吉祥全,120,0,120,307.2,25.6
2610,華航,116,5,111,214.9,19.36
00887,永豐中國科技50大,100,3,97,167.9,17.31
,元大台灣50正2,116,28,88,331.6,37.65
00918,大華優利高填息30,77,5,72,219.5,30.32
3209,全科,63,1,62,469.6,75.75
6148,驊宏資,60,0,60,189.9,31.65
1717,長興,65,6,59,481.9,81.54
2355,敬鵬,59,2,57,354.3,61.14
5328,華容,56,15,41,168.4,41.07
00830,國泰費城半導體,43,4,39,351.0,90.33
2353,宏碁,51,15,36,139.1,38.7
2002,中鋼,47,14,33,63.2,19.13
3707,漢磊,35,3,32,285.6,87.11
0050,元大台灣50,47,15,32,336.9,105.4
1402,遠東新,32,1,31,79.6,25.06
1312,國喬,37,6,31,36.3,11.72
1513,中興電,32,3,29,486.4,168.26
,群益優選非投等債,1,1193,-1192,-1142.4,9.58
2362,藍天,111,300,-189,-884.1,46.8
9105,泰金寶-DR,100,275,-175,-170.7,9.75
,主動統一台股增長,113,273,-160,-507.9,31.78
2344,華邦電,213,357,-144,-2490.6,173.06
2618,長榮航,15,131,-116,-429.9,37.06
3481,群創,66,170,-104,-571.4,55.27
4707,磐亞,0,99,-99,-176.2,17.8
2377,微星,983,1081,-98,-2064.2,209.54
,主動安聯台灣,0,98,-98,-137.5,14.02
,主動統一升級50,123,221,-98,-106.3,10.85
3114,好德,0,82,-82,-263.7,32.16
6282,康舒,44,125,-81,-526.9,64.91
00940,元大台灣價值高息,2,81,-79,-96.1,12.16
00878,國泰永續高股息,20,84,-64,-199.3,31.55
,群益ESG投等債20+,1,60,-59,-87.4,14.82
2882,國泰金,0,54,-54,-473.9,87.76
8103,瀚荃,2,55,-53,-605.7,114.28
,主動群益科技創新,20,72,-52,-96.7,18.64
2548,華固,0,51,-51,-625.7,122.69
2615,萬海,0,50,-50,-425.9,84.68
00713,元大台灣高息低波,0,50,-50,-288.9,57.53
2385,群光,0,50,-50,-698.4,139.68
,期元大S&P原油反1,0,50,-50,-64.2,12.83
2337,旺宏,74,124,-50,-855.1,172.61
