code,name,buy_shares,sell_shares,net_shares,net_amount,avg_price
,國泰臺灣加權反1,60,0,60,9.8,1.63
2489,瑞軒,76,17,59,250.8,42.08
009826,貝萊德世界股票,38,0,38,38.6,10.15
2317,鴻海,29,6,23,573.1,246.1
2409,友達,24,1,23,59.0,25.66
009816,凱基台灣TOP50,35,15,20,30.2,15.32
1718,中纖,22,3,19,19.8,10.71
2305,全友,22,4,18,55.2,30.64
,主動復華未來50,16,1,15,26.6,17.71
4763,材料*-KY,12,0,12,54.5,45.48
00922,國泰台灣領袖50,10,0,10,41.0,41.03
3094,聯傑,10,0,10,38.4,38.4
6140,訊達,10,0,10,17.3,17.3
,主動安聯美國科技,9,0,9,8.5,9.5
1810,和成,10,1,9,23.1,25.71
6257,矽格,8,0,8,165.0,203.75
8085,福華,8,0,8,12.2,15.25
3707,漢磊,7,0,7,44.6,63.64
00919,群益台灣精選高息,8,1,7,21.7,31.05
5471,松翰,7,1,6,36.0,60.0
4416,三圓,6,0,6,9.1,15.17
2460,建通,6,0,6,17.6,29.3
2451,創見,5,0,5,168.5,298.84
4931,新盛力,7,2,5,129.4,253.73
2886,兆豐金,5,0,5,23.3,46.52
,元大台灣50正2,12,148,-136,-482.9,35.58
3481,群創,48,166,-118,-550.9,46.89
,期街口S&P黃豆,0,100,-100,-225.2,22.52
,元大台灣50反1,10,107,-97,-97.1,10.02
,主動統一升級50,14,99,-85,-86.6,10.14
,群益臺灣加權正2,7,81,-74,-86.3,11.66
6116,彩晶,0,55,-55,-78.8,14.32
2609,陽明,79,110,-31,-181.3,58.29
,主動凱基台灣,0,26,-26,-24.9,9.59
1815,富喬,16,39,-23,-273.7,118.27
4303,信立,0,22,-22,-117.7,53.5
1303,南亞,15,36,-21,-446.2,204.25
2356,英業達,2,19,-17,-112.1,65.94
,主動統一台股增長,0,17,-17,-49.7,29.3
8039,台虹,8,22,-14,-454.4,325.73
2478,大毅,2,15,-13,-156.3,120.23
00940,元大台灣價值高息,0,13,-13,-16.4,12.65
,主動野村臺灣優選,0,12,-12,-29.2,24.32
2330,台積電,0,11,-11,-2757.0,2415.48
4939,亞電,4,15,-11,-85.2,76.72
3490,單井,0,11,-11,-59.3,53.87
3450,聯鈞,0,10,-10,-603.5,561.08
009821,野村稀土關鍵資源,0,10,-10,-16.2,16.09
8033,雷虎,3,13,-10,-184.4,184.21
9105,泰金寶-DR,0,10,-10,-8.4,8.37
